match_id,home_ballpossession,away_ballpossession,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_shotsoffgoal,away_shotsoffgoal,home_offsides,away_offsides,home_throwins,away_throwins,home_goalkicks,away_goalkicks
4098733,61,39,1,7,13,3,16,11,16,17,2,6,0,0,9,2,13,5,1,5,23,13,7,21
4098735,46,54,9,9,6,3,18,8,11,20,1,1,0,0,6,2,5,6,2,3,25,24,13,10
4098743,35,65,5,3,3,7,10,13,14,11,5,2,1,0,6,9,3,8,1,1,29,23,16,9
4098729,54,46,12,8,8,5,12,25,27,14,2,6,0,0,5,5,6,3,2,2,24,17,5,11
4098737,56,44,6,13,8,0,15,18,19,16,2,2,0,0,3,2,12,1,1,1,26,24,2,19
4098741,65,35,3,4,2,6,15,13,17,15,3,4,0,1,7,5,6,2,0,4,21,32,6,10
4098745,44,56,9,9,5,4,17,14,20,24,4,2,0,0,3,6,4,3,7,6,28,9,10,9
4098731,48,52,7,4,2,5,24,17,21,27,1,3,0,0,6,9,2,7,3,4,21,25,14,4
4098739,37,63,1,3,5,6,19,16,18,23,5,4,0,0,5,4,5,11,4,2,11,23,14,10
4098759,45,55,3,8,5,3,8,19,21,10,0,2,0,0,10,3,6,6,2,2,17,20,9,15
4098757,54,46,4,4,6,3,13,20,20,14,2,2,1,0,4,4,3,4,1,0,19,23,8,15
4098747,49,51,2,4,6,4,22,20,22,24,2,1,1,0,5,2,5,3,2,2,32,37,8,12
4098749,61,39,3,1,3,1,12,19,22,14,1,2,0,0,3,3,9,7,2,3,39,22,11,15
4098753,51,49,0,4,6,1,19,17,18,22,4,3,1,0,5,0,4,3,3,1,20,15,7,8
4098751,58,42,1,4,5,9,16,6,8,22,2,2,0,0,7,1,3,6,6,2,15,20,8,7
4098761,49,51,3,1,6,1,16,25,26,25,2,4,0,0,3,5,4,5,9,1,27,34,10,16
4098755,53,47,5,6,10,4,16,16,16,16,2,4,0,0,7,6,4,6,,,19,23,7,8
4098769,60,40,2,0,9,5,18,21,21,22,1,2,0,0,0,2,5,2,4,0,25,24,7,11
4098779,59,41,3,9,4,3,13,18,21,14,3,3,1,0,9,4,10,5,1,3,26,12,10,14
4098781,52,48,6,8,4,7,9,17,17,13,2,0,0,0,8,7,7,5,4,0,19,20,15,12
4098765,52,48,2,3,13,1,20,19,22,22,4,5,1,1,4,3,2,1,2,3,33,18,2,7
4098773,42,58,2,3,4,2,25,32,34,30,3,3,0,0,4,3,5,7,5,2,26,20,10,7
4098775,46,54,2,3,3,10,16,18,19,16,4,0,1,0,3,3,6,13,0,1,14,27,16,12
4098767,47,53,2,2,5,5,35,15,20,36,1,3,0,0,2,4,5,4,1,5,17,17,6,7
4098777,48,52,8,8,6,7,23,18,18,23,3,5,0,0,4,6,4,2,,,18,13,8,6
4098771,54,46,4,6,6,2,24,18,21,26,3,3,0,1,7,4,7,4,2,3,21,17,6,13
4098791,45,55,6,4,4,6,18,16,19,21,3,2,1,0,4,6,3,4,3,3,16,11,7,7
4098789,55,45,3,4,10,0,17,22,23,18,3,3,0,0,4,4,3,7,1,1,15,22,8,7
4098799,45,55,4,0,4,3,15,23,28,19,4,2,0,0,1,4,3,4,4,5,30,23,8,9
4098783,55,45,14,5,7,6,21,17,18,21,4,1,0,1,3,6,4,2,0,1,20,36,7,7
4098787,50,50,4,2,4,5,25,23,25,29,1,3,0,0,5,4,2,3,4,2,17,30,7,5
4098785,40,60,1,0,3,5,17,16,24,20,2,1,0,0,0,1,2,4,3,8,24,32,8,7
4098793,57,43,2,1,14,2,16,17,18,16,2,5,0,0,2,3,5,0,0,1,22,21,6,13
4098795,53,47,2,5,3,7,17,15,16,17,0,2,0,0,7,4,4,8,0,1,29,24,14,11
4098797,61,39,5,13,11,2,28,18,23,30,3,3,0,0,9,1,9,3,2,5,20,19,9,17
4098811,49,51,4,10,5,3,17,23,26,17,3,1,0,0,5,4,7,4,0,3,37,20,4,13
