match_id,home_ballpossession,away_ballpossession,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_shotsoffgoal,away_shotsoffgoal,home_offsides,away_offsides,home_throwins,away_throwins,home_goalkicks,away_goalkicks,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_passes,away_passes,home_totaltackle,away_totaltackle,home_hitwoodwork,away_hitwoodwork,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_fouledfinalthird,away_fouledfinalthird,home_accuratepasses,away_accuratepasses,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_ballrecovery,away_ballrecovery,home_totalclearance,away_totalclearance,home_bigchancemissed,away_bigchancemissed,home_accuratethroughball,away_accuratethroughball
5721846,44,56,2,1,3,2,18,28,31,23,0,3,0,0,2,5,4,4,5,3,15,24,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5721852,48,52,0,5,5,7,14,27,28,15,1,6,0,0,6,2,3,3,1,1,22,26,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5721848,57,43,4,4,3,3,20,22,22,21,2,1,0,0,6,6,4,3,1,0,18,20,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5721850,59,41,3,1,3,4,13,12,18,14,2,4,0,0,1,5,6,3,1,6,32,19,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5721836,28,72,2,2,4,3,24,16,15,23,1,2,1,0,3,3,2,2,3,0,28,20,8,7,0,1,8,8,184,480,12,9,0,0,3,3,1,6,7,2,0,1,3,5,122,396,49,76,21,36,1,4,46,54,7,10,33,34,6,12,7,5,8,8,14,9,44,38,34,24,,,,
5721854,47,53,4,2,2,5,21,13,13,26,2,2,0,0,2,6,7,4,5,0,21,23,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5721838,55,45,2,3,4,6,15,15,17,16,1,2,0,0,4,3,8,2,1,2,33,17,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5721842,55,45,1,2,8,1,12,15,15,13,0,3,0,0,3,2,8,4,1,0,24,26,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5721844,57,43,1,4,8,5,9,15,18,11,2,3,0,0,7,2,4,4,2,3,12,22,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722180,46,54,2,2,9,8,21,18,19,23,2,4,0,0,3,2,5,8,2,1,19,22,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722188,54,46,4,3,3,6,14,23,27,18,3,2,0,0,3,5,3,2,4,4,21,22,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722182,65,35,3,3,8,4,10,14,17,11,3,2,0,0,4,3,6,4,1,3,17,23,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722184,54,46,1,3,2,6,14,13,14,14,1,1,0,0,4,1,7,3,0,1,29,31,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722190,51,49,5,14,4,0,18,23,29,20,3,4,0,0,9,2,8,3,2,6,16,18,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722186,58,42,3,4,8,4,10,21,21,10,0,2,0,0,6,4,7,3,,,23,23,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722178,32,68,11,7,3,6,19,15,18,19,2,1,0,0,2,3,9,2,0,3,13,29,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722192,45,55,3,0,3,2,21,20,20,23,1,5,0,0,2,5,2,3,2,0,17,19,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722194,69,31,1,3,9,2,14,25,26,15,2,6,0,0,4,2,5,3,1,1,25,19,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722212,59,41,6,13,13,1,20,19,20,20,1,2,0,0,10,4,8,5,0,1,19,29,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722204,51,49,1,5,9,5,24,13,14,25,2,5,0,0,6,4,3,7,1,1,21,16,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722200,39,61,8,0,1,8,21,18,23,25,4,3,0,0,2,8,1,8,4,5,12,29,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722196,55,45,5,11,7,4,18,15,15,19,1,1,0,0,6,4,2,5,1,0,22,27,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722210,54,46,1,2,5,3,27,20,26,30,3,4,0,0,4,1,3,6,3,6,27,15,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722206,61,39,13,6,7,5,23,21,21,26,3,3,0,0,1,3,3,2,3,0,31,25,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722198,60,40,4,3,8,5,10,23,25,12,3,4,0,0,5,5,14,2,2,2,22,27,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722202,38,62,3,2,1,3,21,14,15,23,2,6,0,0,3,4,5,5,2,1,21,29,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
