match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_accuratethroughball,away_accuratethroughball,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks
6801917,56,44,18,8,2,2,4,2,0,0,508,400,13,13,1,4,0,1,4,2,0,0,14,4,0,2,11,2,7,6,3,0,5,5,435,299,13,18,56,44,41,37,20,10,3,17
6801923,53,47,11,7,1,2,5,3,0,0,475,408,14,12,4,4,,,3,1,0,1,3,5,5,1,6,4,5,3,1,0,2,5,409,334,13,15,55,45,36,30,10,7,8,7
6801916,64,36,21,11,3,6,6,1,0,0,458,260,21,7,2,3,,,8,6,0,0,10,3,3,2,7,8,14,3,1,1,4,2,377,178,22,20,57,43,46,32,7,8,5,10
6801922,47,53,18,15,3,1,3,9,0,0,418,442,7,14,1,3,,,3,5,0,1,9,7,6,3,8,11,10,4,,,1,1,346,378,14,20,49,51,30,30,6,7,11,12
6801918,61,39,12,11,4,4,8,2,0,0,547,357,9,14,3,1,,,4,5,0,0,5,4,3,2,7,6,6,5,0,2,1,3,439,249,34,25,56,44,30,27,20,12,7,13
6801921,45,55,15,14,1,5,4,5,0,0,341,408,15,15,1,4,,,7,2,0,0,4,6,4,6,9,6,6,8,,,2,0,234,310,19,23,51,49,38,34,18,20,8,8
6801919,42,58,7,18,5,1,3,8,0,0,269,345,15,15,2,0,1,0,1,7,0,0,2,6,4,5,0,11,7,8,,,1,0,175,262,25,26,39,61,20,43,16,13,9,4
6801920,45,55,18,22,5,5,4,6,0,0,372,441,10,19,3,2,1,0,7,10,1,1,7,9,4,3,10,11,8,11,1,2,1,1,305,377,18,9,36,64,22,42,6,7,8,5
6801924,55,45,17,10,2,1,3,4,0,0,402,328,16,19,3,2,,,3,5,0,0,8,4,6,1,8,5,9,5,1,1,1,2,317,242,28,23,46,54,35,36,12,20,9,14
6802004,45,55,7,8,1,1,2,8,0,0,321,364,19,26,3,2,,,2,1,0,0,5,3,0,4,4,4,3,4,,,0,1,211,257,29,34,43,57,43,58,9,10,7,9
6802021,46,54,8,6,2,1,3,7,0,0,421,501,10,17,3,1,,,2,2,0,0,4,3,2,1,3,1,5,5,1,0,0,1,341,404,21,25,47,53,30,38,13,11,8,5
6802003,40,60,12,10,3,2,1,5,0,0,339,484,17,15,2,2,0,1,4,3,1,0,6,4,2,3,5,6,7,4,2,0,1,5,241,385,20,26,54,46,31,28,16,12,9,10
6802007,56,44,11,15,5,2,7,4,0,0,518,399,17,15,5,3,1,0,3,7,0,0,4,7,4,1,4,8,7,7,0,1,4,5,445,324,22,13,44,56,41,47,3,9,8,7
6802012,59,41,12,15,2,4,5,4,0,0,474,322,25,16,4,3,,,4,3,0,0,7,7,1,5,6,7,6,8,1,1,1,2,376,229,24,17,58,42,54,37,11,11,7,13
6802005,39,61,11,18,7,2,2,8,0,0,331,496,12,19,2,3,,,6,11,0,1,4,6,1,1,8,13,3,5,1,3,3,0,253,404,15,22,45,55,42,46,6,13,8,6
6802006,61,39,16,10,2,6,6,2,0,0,444,278,21,11,3,7,,,9,3,0,0,4,7,3,0,12,8,4,2,0,1,1,2,356,181,25,18,51,49,37,32,16,18,9,7
6802008,45,55,12,13,3,5,5,6,0,0,294,354,21,14,4,2,,,5,4,0,0,2,7,5,2,6,7,7,6,1,0,1,0,201,278,35,18,45,55,41,44,12,21,6,7
6802010,68,32,27,9,3,6,9,3,0,0,681,328,12,18,1,1,,,7,5,1,0,16,2,4,2,15,3,12,6,1,1,1,1,579,229,26,14,50,50,44,40,16,19,3,20
6802020,37,63,12,10,2,3,2,2,0,0,288,473,15,17,3,1,,,3,5,0,0,5,1,4,4,4,5,8,5,0,1,1,2,198,385,21,29,46,54,41,39,12,24,5,5
6802013,47,53,8,7,0,1,6,1,0,0,405,451,22,25,1,5,0,1,3,2,0,0,5,3,0,2,5,5,3,2,1,0,3,1,336,363,14,16,51,49,33,34,9,6,5,10
6802019,43,57,7,18,4,0,3,9,0,0,284,365,15,26,3,3,,,1,4,0,0,4,7,2,7,2,9,5,9,,,2,3,180,264,26,23,40,60,37,49,18,32,12,7
6802009,44,56,15,13,3,4,5,4,0,0,422,532,11,23,4,4,0,1,5,7,1,0,9,2,1,4,6,8,9,5,,,0,2,342,441,18,26,42,58,28,41,10,11,4,8
6802011,62,38,12,12,3,3,6,3,0,0,436,257,24,19,2,3,,,4,5,0,0,6,5,2,2,7,6,5,6,,,4,0,341,176,18,17,50,50,47,39,9,17,7,8
6802015,59,41,23,13,4,5,5,3,0,0,447,303,14,10,3,3,,,6,5,0,0,8,7,9,1,7,6,16,7,1,1,4,1,363,213,19,26,51,49,42,40,11,10,10,9
6802014,62,38,20,10,3,6,11,4,0,0,501,311,16,13,2,3,,,8,5,2,0,11,4,1,1,10,6,10,4,0,1,0,2,415,230,21,17,52,48,40,35,16,16,5,14
6802016,61,39,21,10,2,5,6,2,0,0,482,303,13,15,2,0,,,7,3,0,0,8,5,6,2,10,2,11,8,1,0,2,2,408,217,19,20,51,49,45,49,14,8,9,16
6802018,59,41,6,11,2,1,5,7,0,0,445,294,20,16,5,2,0,1,2,3,0,1,3,5,1,3,3,7,3,4,,,1,3,354,202,22,26,51,49,40,46,23,14,8,8
6802029,44,56,6,11,4,2,4,2,0,0,363,453,14,21,1,1,1,0,2,4,1,0,3,6,1,1,2,5,4,6,1,1,4,1,251,359,25,17,45,55,36,45,15,17,8,4
6802026,51,49,10,10,5,1,3,6,0,0,424,407,18,18,2,4,,,4,7,1,0,6,3,0,0,8,4,2,6,,,2,5,315,296,19,23,53,47,41,39,19,14,9,7
6802025,48,52,11,10,4,5,7,4,0,0,308,317,20,17,2,2,,,7,4,0,0,1,4,3,2,7,3,4,7,0,1,4,0,205,230,23,25,48,52,36,38,10,11,8,5
6802024,59,41,23,11,1,7,11,0,0,0,373,267,21,18,3,5,1,1,8,2,0,0,12,5,3,4,16,7,7,4,,,3,7,276,178,28,25,47,53,47,48,15,22,7,14
6802017,52,48,16,17,5,4,5,9,0,0,451,415,18,13,1,3,,,7,5,0,1,3,8,6,4,10,6,6,11,2,0,3,1,346,330,16,13,58,42,48,34,11,9,11,4
6802027,54,46,11,13,4,3,4,3,0,0,464,392,11,11,4,4,1,0,4,5,0,0,5,6,2,2,5,2,6,11,,,1,1,387,314,22,22,53,47,34,35,16,10,5,9
