team_id,season_id,matches,goalsScored,goalsConceded,assists,shots,shotsOnTarget,bigChances,bigChancesCreated,averageBallPossession,totalPasses,accuratePassesPercentage,tackles,interceptions,clearances,saves,yellowCards,redCards,avgRating
3050,10470,34,75,35,53,505,207,50,77,58.029411764706,16851,81.781496647083,581,641,488,101,65,2,7.0239224137931
3052,10470,33,56,27,39,528,180,66,79,56.272727272727,14325,79.239092495637,666,610,523,69,76,1,7.0350220264317
3085,10470,34,44,33,28,321,126,41,58,49.735294117647,14036,74.928754630949,622,621,609,87,70,1,6.8516411378556
3086,10470,34,54,36,34,420,158,33,50,50.676470588235,13801,76.878487066155,571,683,543,89,78,2,6.9076759061834
3057,10470,34,52,36,35,469,171,40,51,45.705882352941,12005,72.311536859642,636,680,804,70,75,4,6.9210638297872
3061,10470,34,69,49,46,471,182,43,58,57.088235294118,16977,82.440949519939,534,573,509,123,90,5,6.910421286031
6063,10470,34,50,40,40,482,176,43,57,50.411764705882,12972,76.248843663275,620,675,580,74,72,5,6.8835117773019
24748,10470,34,42,41,24,325,116,33,36,48.529411764706,13901,73.606215380188,593,773,799,92,80,3,6.8403846153846
3056,10470,34,53,52,35,395,150,24,39,50.470588235294,13713,78.44381244075,548,726,571,111,83,6,6.8411016949153
7802,10470,34,42,42,29,387,119,27,46,46.382352941176,12641,74.827940827466,561,687,676,102,74,0,6.8416485900217
3055,10470,34,47,55,36,425,137,34,55,50.235294117647,13793,75.944319582397,612,749,514,93,93,8,6.8435344827586
3051,10470,33,40,55,28,401,150,34,36,50.060606060606,13620,79.104258443465,536,630,550,117,104,12,6.8203539823009
3064,10470,34,39,48,29,351,131,43,47,46.294117647059,12647,75.488258084921,639,607,631,118,86,3,6.8338394793926
3060,10470,34,31,50,23,351,119,24,41,47.441176470588,12321,72.29932635338,593,704,756,123,75,8,6.7813852813853
3072,10470,34,25,41,16,449,128,22,28,47.470588235294,12091,74.716731453147,496,642,550,100,88,8,6.772885032538
3076,10470,34,34,48,25,439,145,28,30,50.058823529412,13381,74.949555339661,554,590,716,91,83,9,6.808547008547
6364,10470,34,39,64,27,393,128,23,34,46.852941176471,12988,76.493686479828,578,609,683,103,94,6,6.73147751606
3102,10470,34,31,71,22,353,120,21,25,48.470588235294,13208,74.470178625492,551,637,514,133,84,8,6.6895878524946
