match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards
7131899,43,57,10,12,3,2,7,11,16,9,330,430,9,15,1,2,4,5,0,1,3,4,3,3,5,8,5,4,2,1,264,371,24,17,50,50,34,35,14,13,9,6,,,,
7131902,47,53,15,9,2,6,6,4,16,21,336,381,19,16,,,9,2,0,0,3,7,3,0,8,4,7,5,1,1,233,277,37,21,56,44,49,39,26,20,8,7,,,,
7131904,47,53,17,8,2,3,6,4,10,7,400,445,7,9,,,4,3,0,0,8,5,5,0,10,4,7,4,3,4,325,363,22,23,49,51,25,20,10,17,7,12,1,0,,
7131898,62,38,10,12,5,1,5,2,12,19,589,347,18,12,1,1,5,6,0,0,3,3,2,3,6,5,4,7,3,1,503,265,18,14,56,44,42,34,11,7,6,9,,,,
7131897,50,50,13,8,2,0,4,5,19,13,372,362,13,15,4,2,2,2,1,0,7,4,4,2,6,3,7,5,3,0,284,262,19,30,51,49,34,32,15,15,9,10,,,,
7131905,64,36,8,5,1,3,1,0,12,20,573,310,18,11,1,1,3,3,0,0,3,1,2,1,4,1,4,4,1,2,480,233,30,17,45,55,32,41,8,7,5,4,0,1,,
7131903,47,53,16,11,2,7,6,4,16,16,292,329,16,15,4,3,7,2,0,1,6,5,3,4,6,5,10,6,1,1,236,258,24,13,48,52,42,43,9,12,10,3,0,3,1,0
7131900,32,68,5,11,4,1,0,4,15,20,272,553,20,13,2,1,2,4,0,1,3,4,0,3,4,8,1,3,1,1,194,484,16,27,49,51,36,37,16,18,12,8,0,1,1,1
7131901,68,32,18,16,5,4,3,3,10,13,641,300,9,9,2,1,5,5,0,0,9,11,4,0,13,10,5,6,3,3,556,209,27,14,48,52,35,34,11,15,14,12,0,2,,
7133409,40,60,11,14,1,1,4,4,10,13,363,550,13,9,,,3,2,0,0,6,5,2,7,6,8,5,6,3,2,292,467,21,21,51,49,34,28,7,12,8,7,0,1,,
7133410,39,61,11,9,2,3,5,0,16,13,326,484,12,14,4,3,6,4,0,0,3,4,2,1,8,5,3,4,4,0,230,398,16,30,47,53,23,26,12,13,9,5,1,1,0,1
7133411,56,44,9,11,2,2,5,5,22,13,388,311,13,19,2,3,3,4,1,0,4,5,2,2,6,4,3,7,0,3,300,219,25,26,49,51,38,39,19,20,5,6,0,1,,
7133403,33,67,11,18,6,5,7,9,18,9,283,584,9,17,0,1,6,9,1,0,2,5,3,4,6,7,5,11,0,2,204,492,19,21,40,60,24,43,14,13,9,5,,,,
7133407,47,53,10,10,3,1,3,6,16,19,299,331,18,16,4,2,2,3,1,1,5,5,3,2,1,10,9,0,3,2,180,220,36,25,48,52,44,43,18,23,8,9,,,1,0
7133412,49,51,7,18,2,1,5,8,11,7,419,425,7,11,1,0,1,4,0,2,4,10,2,4,3,10,4,8,1,1,317,321,20,26,49,51,37,33,15,21,13,10,0,1,,
7133408,50,50,22,10,2,6,15,2,22,11,377,381,11,18,6,1,9,2,0,1,5,5,8,3,15,7,7,3,4,1,286,286,16,27,50,50,40,37,11,14,5,9,,,,
7133406,63,37,12,13,3,3,2,1,15,26,471,275,25,15,2,3,6,6,0,0,6,5,0,2,7,7,5,6,4,2,389,209,18,19,56,44,44,35,20,16,8,9,1,0,1,0
7133405,40,60,11,16,6,4,1,4,27,16,275,374,16,22,2,2,6,9,0,0,3,5,2,2,5,11,6,5,,,196,298,18,31,50,50,43,45,14,11,13,5,,,,
7133421,52,48,16,8,1,4,7,2,21,26,333,313,24,17,5,2,7,2,1,0,6,5,3,1,10,4,6,4,1,1,247,228,24,23,60,40,40,25,10,9,3,6,,,,
7133422,35,65,9,13,3,4,4,5,18,5,317,571,5,17,2,1,5,4,0,0,2,8,2,1,6,6,3,7,3,0,237,496,17,25,32,68,16,42,7,8,14,7,,,,
7133420,65,35,15,6,0,5,2,4,11,17,582,299,17,11,2,2,6,0,2,0,8,4,1,2,8,3,7,3,1,1,498,217,22,20,54,46,38,33,12,9,7,9,1,0,,
7133419,55,45,12,6,1,1,5,1,18,10,470,386,9,14,1,2,1,1,0,0,8,4,3,1,5,3,7,3,2,1,352,267,40,23,44,56,23,44,26,18,6,12,,,,
7133416,62,38,18,12,1,4,9,5,21,12,587,346,11,21,2,6,8,2,0,0,6,9,4,1,6,6,12,6,1,3,490,255,17,14,43,57,30,44,14,14,9,8,,,0,1
7133417,57,43,12,17,6,3,6,7,16,26,402,300,26,15,3,1,3,8,0,0,8,7,1,2,4,9,8,8,1,2,312,207,29,18,59,41,59,44,19,10,10,11,,,,
