player_id,team_id,season_id,appearances,matches_started,minutes_played,goals,assists,expected_goals,expected_assists,yellow_cards,red_cards,rating,total_shots,shots_on_target,accurate_passes,total_passes,accurate_passes_pct,key_passes,tackles,interceptions,successful_dribbles,ground_duels_won_pct,aerial_duels_won_pct,saves,clean_sheets,goals_conceded,big_chances_created,big_chances_missed
758876,3050,11927,32,31,2515,7,5,,,5,0,6.85,56,22,524,698,75.071633237822,34,29,27,31,51.339285714286,32.5,0,5,22,2,6
135695,3050,11927,11,4,401,0,2,,,3,0,6.7125,4,0,136,181,75.138121546961,6,19,5,5,43.243243243243,23.809523809524,0,0,3,1,0
43394,3050,11927,17,5,585,0,0,,,3,1,6.82,3,0,377,421,89.548693586698,3,22,11,3,59.259259259259,66.666666666667,0,1,5,0,0
103912,3086,11927,31,26,2410,5,3,,,5,0,6.7709677419355,29,12,740,958,77.244258872651,26,39,27,17,43.229166666667,29.166666666667,0,4,34,4,2
30143,3086,11927,33,33,2970,0,0,,,0,0,6.8151515151515,0,0,461,837,55.077658303465,0,0,2,0,60,80,80,16,27,0,0
329245,3052,11927,22,21,1767,13,2,,,2,0,7.3954545454545,89,34,577,729,79.149519890261,27,20,9,20,48.538011695906,54.347826086957,0,6,17,8,1
178963,3061,11927,6,4,362,0,0,,,1,0,7.225,1,0,182,225,80.888888888889,1,10,16,0,61.111111111111,45.454545454545,0,1,4,0,0
826155,3056,11927,2,0,14,0,0,,,0,0,6.35,0,0,12,15,80,1,0,1,0,0,0,0,0,0,0,0
796114,3056,11927,1,0,23,0,0,,,0,0,6.5,0,0,8,11,72.727272727273,0,1,1,0,50,0,0,0,0,0,0
98276,3056,11927,28,25,2189,2,0,,,7,0,6.9392857142857,18,3,795,923,86.132177681473,6,40,34,10,66.165413533835,64.285714285714,0,6,36,0,0
251907,3051,11927,22,14,1168,3,2,,,3,0,6.885,23,5,488,594,82.154882154882,15,30,23,17,52.941176470588,63.636363636364,0,0,16,2,1
109779,3051,11927,34,32,2900,8,7,,,3,0,7.1441176470588,101,31,772,1041,74.159462055716,50,28,33,24,47.087378640777,19.047619047619,0,10,27,9,3
97967,3051,11927,29,27,2326,2,2,,,10,0,7.2137931034483,29,7,1082,1308,82.721712538226,20,68,69,41,53.60824742268,73.214285714286,0,10,22,0,2
252207,3085,11927,32,32,2684,11,11,,,9,0,7.025,65,30,831,1103,75.339981867634,66,45,19,37,47.572815533981,30,0,0,43,8,2
72127,6063,11927,33,29,2538,20,5,,,5,0,7.1575757575758,93,43,402,538,74.721189591078,25,20,11,18,42.268041237113,31.2,0,7,25,3,11
828953,6063,11927,29,20,1805,6,1,,,1,0,6.6964285714286,26,14,314,480,65.416666666667,8,29,11,9,38.011695906433,36.507936507937,0,1,36,1,6
226986,6063,11927,27,17,1413,2,2,,,4,0,6.8185185185185,27,10,529,643,82.270606531882,30,21,15,23,46.067415730337,42.857142857143,0,2,13,6,1
190191,6063,11927,6,2,198,1,0,,,0,0,6.52,3,1,38,47,80.851063829787,2,4,2,0,60,75,0,0,4,0,0
60510,6362,11927,24,20,1774,1,2,,,3,0,6.8875,19,4,690,803,85.927770859278,23,40,21,37,59.745762711864,41.379310344828,0,2,34,2,1
34142,6362,11927,14,14,1260,0,0,,,1,0,6.75,0,0,157,370,42.432432432432,0,1,0,1,71.428571428571,71.428571428571,49,4,26,0,0
105974,6362,11927,1,0,20,0,0,,,0,0,6.5,0,0,7,9,77.777777777778,0,0,0,0,100,0,0,0,0,0,0
257029,3057,11927,8,8,720,0,0,,,0,0,6.375,0,0,118,214,55.140186915888,0,0,1,0,60,100,25,0,16,0,0
43543,3055,11927,16,6,725,1,0,,,2,0,6.65625,15,5,150,212,70.754716981132,5,4,4,3,40,34.782608695652,0,0,13,0,0
69351,3055,11927,27,21,1805,0,3,,,3,0,6.848,24,3,705,835,84.431137724551,33,54,31,11,45.360824742268,28.205128205128,0,7,19,8,1
146368,3055,11927,24,7,824,0,1,,,1,0,6.5086956521739,11,2,206,277,74.368231046931,15,10,15,11,44.117647058824,5.8823529411765,0,0,15,1,0
355004,3055,11927,20,20,1595,1,0,,,5,1,6.8,8,2,414,555,74.594594594595,0,28,36,2,55.555555555556,57.377049180328,0,2,26,0,0
60363,3055,11927,26,23,1969,6,1,,,7,1,7.0192307692308,62,23,664,876,75.799086757991,23,58,33,44,47.909967845659,44.594594594595,0,5,23,2,2
226992,3072,11927,1,0,45,0,0,,,1,0,6.1,0,0,16,18,88.888888888889,0,0,1,0,20,0,0,0,1,0,0
122922,3072,11927,25,25,2199,0,3,,,4,0,6.908,4,1,1181,1387,85.147801009373,25,33,60,34,60.493827160494,53.333333333333,0,7,27,2,0
