match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards,home_bigchancecreated,away_bigchancecreated,home_totaltackle,away_totaltackle,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_fouledfinalthird,away_fouledfinalthird,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_dispossessed,away_dispossessed,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_ballrecovery,away_ballrecovery,home_totalclearance,away_totalclearance
7477132,54,46,7,7,2,2,0,3,15,9,595,494,8,15,1,1,4,2,0,0,2,3,1,2,4,3,3,4,0,1,527,408,26,27,47,53,25,31,13,12,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7477133,50,50,9,7,0,1,3,4,17,15,432,430,15,17,3,3,2,0,0,0,6,5,1,2,8,2,1,5,1,1,338,333,18,24,49,51,35,41,23,20,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7477135,44,56,6,6,0,2,4,1,19,16,275,354,14,19,2,3,3,1,0,1,3,5,0,0,3,4,3,2,3,4,166,222,24,29,44,56,29,38,26,31,13,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7477136,61,39,19,9,0,6,5,3,12,23,520,337,23,9,2,4,7,3,0,0,10,4,2,2,11,4,8,5,1,0,469,274,19,13,62,38,44,29,10,4,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7477137,36,64,8,13,2,2,0,4,20,12,308,522,10,20,4,1,4,4,0,1,2,4,2,5,3,10,5,3,3,6,201,414,21,24,45,55,32,50,22,16,7,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7477131,50,50,14,11,0,4,1,6,20,19,330,314,18,19,4,2,6,2,0,0,5,8,3,1,10,5,4,6,3,2,236,221,14,29,52,48,42,46,16,7,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7480313,38,62,11,16,4,1,3,5,14,14,309,494,14,14,1,3,4,5,0,0,5,4,2,7,9,6,2,10,1,1,221,409,14,34,55,45,45,34,14,15,12,5,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7477130,50,50,13,11,1,2,3,3,24,18,367,365,18,21,3,4,4,1,1,0,8,5,1,5,9,3,4,8,1,2,289,264,33,17,42,58,27,40,12,13,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7477134,63,37,14,6,1,4,2,2,13,17,494,274,15,11,2,4,8,2,0,0,5,3,1,1,9,4,5,2,5,2,429,207,24,26,51,49,42,34,4,10,7,8,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479728,36,64,7,15,3,2,4,4,15,20,341,609,19,14,4,2,4,5,0,0,3,6,0,4,3,8,4,7,2,1,275,547,12,17,55,45,42,32,10,10,10,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
