match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_accuratethroughball,away_accuratethroughball,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_redcards,away_redcards
7869492,53,47,2,3,6,15,2,0,2,4,14,11,378,322,17,19,10,13,2,2,1,4,0,0,2,9,3,2,5,7,1,8,1,2,1,1,2,1,2,3,3,0,256,224,33,26,56,50,25,31,2,5,47,53,13,10,32,40,26,25,5,9,10,12,12,18,26,31,10,5,,
7869499,60,40,1,1,16,10,2,3,4,7,12,16,444,290,18,23,16,12,1,3,4,2,0,1,10,5,2,3,10,8,6,2,,,1,1,1,1,2,3,2,2,365,190,24,25,56,57,37,26,5,4,50,50,14,10,44,44,19,18,11,9,16,17,12,6,29,24,9,8,,
7869494,45,55,1,3,11,18,3,4,3,6,13,14,379,427,20,16,14,12,2,1,6,6,0,0,3,7,2,5,3,8,8,10,1,2,0,1,3,1,2,5,5,1,291,346,20,17,66,69,30,27,2,10,48,52,9,15,40,33,18,29,6,6,10,9,10,14,34,15,11,6,,
7869500,58,42,3,2,11,10,2,1,4,4,13,16,554,381,17,18,15,13,3,3,3,3,0,0,6,5,2,2,6,5,5,5,2,1,1,1,1,0,5,0,1,5,469,295,19,16,53,50,26,28,1,3,52,48,11,12,41,37,16,15,11,7,12,15,4,11,21,15,11,12,,
7869495,52,48,3,1,17,10,0,3,9,2,17,15,453,416,22,13,15,17,2,2,5,0,0,0,10,8,2,2,11,4,6,6,2,0,1,1,1,0,1,2,1,1,372,349,21,22,49,47,29,23,8,2,57,43,11,13,47,38,13,7,11,8,14,7,5,13,14,20,11,13,,
7869498,51,49,3,2,16,11,2,4,4,7,12,16,366,331,12,16,14,12,1,2,7,4,0,0,6,2,3,5,13,4,3,7,2,2,1,0,1,0,5,2,0,1,268,219,23,30,64,62,30,19,4,7,54,46,9,10,27,32,31,17,2,5,8,10,11,10,32,26,3,10,,
7869497,62,38,4,2,25,9,2,2,12,3,17,15,464,278,26,17,15,16,3,6,3,3,1,0,10,5,12,1,16,4,9,5,1,1,3,1,,,5,6,1,0,370,180,27,21,68,47,41,20,12,4,49,51,11,15,44,44,22,26,5,11,20,12,6,14,21,33,8,12,,
7869493,58,42,0,4,11,7,1,2,4,0,11,11,462,330,11,19,11,11,4,5,2,4,2,0,6,3,3,0,4,6,7,1,0,3,0,1,0,2,4,3,4,3,396,261,26,19,66,31,34,22,6,1,46,54,18,7,36,31,8,20,14,2,8,12,11,7,8,26,6,12,2,1
7869496,66,34,3,0,9,6,1,3,6,2,13,8,643,331,16,17,8,13,0,2,5,1,0,1,3,2,1,3,4,3,5,3,2,0,1,0,1,0,0,3,3,3,575,250,27,16,63,45,45,26,5,2,49,51,14,9,31,33,10,10,7,3,8,8,13,11,12,18,7,6,0,1
7870078,40,60,3,2,11,13,3,5,8,5,12,19,344,500,19,9,18,11,1,4,8,4,0,0,2,8,1,1,8,7,3,6,2,0,1,2,2,0,6,1,8,1,282,432,16,24,40,74,26,33,3,11,54,46,3,14,47,29,14,24,11,9,16,6,7,6,16,16,14,3,,
7870077,50,50,2,1,9,4,0,2,6,4,11,12,457,450,20,8,12,11,2,2,2,0,0,0,4,2,3,2,5,3,4,1,,,2,1,2,0,2,1,1,1,358,363,23,23,63,68,32,39,5,3,58,42,4,15,41,33,29,17,10,13,14,5,9,15,27,32,2,12,,
7870080,56,44,3,2,12,10,1,6,7,3,17,19,412,317,12,12,19,17,1,5,9,4,0,1,2,5,1,1,7,7,5,3,1,2,2,0,0,1,5,4,2,1,327,230,20,30,47,51,27,23,5,3,48,52,8,8,41,36,19,28,10,9,6,7,8,11,22,25,6,3,0,1
7870082,33,67,0,1,13,13,3,1,2,3,15,9,284,572,19,13,9,14,2,0,2,4,0,0,7,8,4,1,8,10,5,3,,,0,1,,,1,1,2,1,203,468,18,33,62,96,35,38,4,6,47,53,10,11,30,31,17,23,2,6,13,12,11,4,32,7,11,9,,
7870083,52,48,4,5,8,24,9,2,4,3,18,14,446,417,18,26,14,18,0,1,3,10,3,2,5,8,0,6,6,18,2,6,1,1,3,4,1,1,2,3,2,0,369,340,21,20,56,52,19,27,0,9,48,52,15,13,42,54,18,12,10,10,11,20,8,8,8,27,11,5,1,0
7870079,40,60,0,3,11,11,3,2,10,9,13,7,275,409,15,10,7,11,0,3,3,6,1,0,5,3,3,2,9,9,2,2,0,2,0,1,0,1,3,3,2,1,185,320,25,26,67,54,24,37,1,9,43,57,8,8,26,28,14,25,4,7,13,9,18,14,22,42,12,10,,
7870084,58,42,0,2,20,6,2,5,6,2,19,15,394,300,14,15,14,15,3,6,5,4,0,0,10,1,5,1,11,5,9,1,0,2,,,,,3,3,3,1,311,213,23,25,63,47,30,28,8,2,52,48,9,7,42,32,27,32,15,5,11,10,11,11,9,50,3,10,1,1
7870081,55,45,1,1,11,9,2,4,6,6,13,14,504,409,15,18,12,13,4,2,5,2,0,1,4,5,2,2,7,6,4,3,,,1,1,1,0,2,1,1,1,429,331,12,20,52,52,44,25,5,5,50,50,11,11,32,37,20,16,6,8,11,12,12,15,17,19,5,9,,
7870085,33,67,1,2,12,15,3,1,5,2,18,16,309,636,20,16,14,18,0,3,3,5,0,0,4,7,5,3,8,9,4,6,1,1,0,1,,,3,2,3,2,242,555,15,12,49,64,28,34,8,4,40,60,10,12,37,43,3,16,4,12,10,9,10,9,32,14,6,9,,
7870096,61,39,0,1,9,11,3,2,4,7,9,20,500,289,15,18,20,7,1,1,2,3,0,0,6,3,1,5,4,7,5,4,,,0,1,,,0,1,2,2,416,204,23,20,57,53,25,24,4,8,58,42,12,9,36,29,28,17,4,6,12,13,13,6,21,24,5,13,,
7870087,37,63,2,2,15,9,5,4,5,9,10,13,298,500,17,16,13,10,2,2,6,7,0,0,4,2,5,0,8,5,7,4,1,1,1,1,,,3,1,,,211,410,17,23,51,67,20,22,1,5,53,47,10,9,30,31,21,15,3,6,10,11,10,14,29,23,9,7,,
7870090,46,54,0,2,5,9,1,0,4,5,16,16,403,472,9,14,13,14,2,1,1,1,0,1,2,6,2,2,1,6,4,3,,,0,2,,,1,3,3,1,313,389,22,17,52,55,30,33,1,5,44,56,12,6,29,30,15,25,7,3,8,10,17,17,24,22,8,5,,
7870094,59,41,3,0,13,6,2,5,4,6,15,13,430,299,16,16,13,13,2,1,5,2,1,1,8,3,0,1,9,4,4,2,,,3,0,1,0,4,1,0,2,363,215,29,23,56,41,25,24,7,2,52,48,7,9,42,33,12,17,14,4,12,12,4,13,18,29,5,8,,
7870089,63,37,3,5,31,9,3,3,7,2,8,9,531,325,10,18,9,5,0,3,3,6,1,0,16,2,12,1,13,6,18,3,0,3,3,2,0,2,4,0,2,11,456,235,27,19,62,47,36,31,9,0,50,50,10,7,28,31,16,13,10,9,5,10,4,7,14,26,5,20,,
7870088,73,27,2,2,28,6,2,8,12,1,15,19,596,230,21,16,14,15,2,7,10,5,1,1,12,0,6,1,17,3,11,3,1,2,1,0,,,7,0,0,3,516,153,27,18,80,44,51,16,17,0,57,43,9,9,46,33,32,27,11,4,14,11,11,10,7,56,2,15,,
7870093,49,51,5,4,16,13,4,3,11,6,18,14,287,303,15,16,13,16,2,3,6,5,1,0,8,4,2,4,13,7,3,6,1,1,4,3,,,2,4,1,0,208,224,31,28,64,56,21,34,10,3,53,47,10,5,40,36,23,20,12,7,8,12,11,7,22,29,10,8,,
7870091,62,38,1,0,18,8,1,3,6,2,9,14,625,371,15,14,14,8,2,4,6,2,1,0,6,4,6,2,13,3,5,5,1,0,,,,,5,2,1,0,549,290,14,20,54,54,33,23,6,3,57,43,14,10,39,25,9,11,10,4,10,10,6,12,18,16,6,11,,
7870086,60,40,7,1,20,5,1,4,4,1,12,10,380,255,17,21,8,12,0,1,10,1,1,0,7,3,3,1,12,3,8,2,4,0,3,1,0,1,3,2,1,1,308,176,20,22,45,29,24,18,4,2,50,50,11,11,33,43,19,10,8,12,13,11,14,9,8,23,8,11,,
7870095,56,44,1,2,11,6,3,3,3,1,9,23,480,378,11,18,22,9,2,4,3,4,0,0,5,2,3,0,3,3,8,3,0,1,1,1,,,4,3,1,1,384,285,27,22,60,55,31,22,6,1,61,39,13,6,39,29,29,15,8,3,9,12,5,12,21,28,3,14,,
7870102,54,46,4,3,22,11,3,5,5,1,19,17,452,377,14,19,15,17,1,3,6,4,2,0,9,3,7,4,13,8,9,3,1,1,3,2,0,1,6,3,4,0,359,280,20,23,84,42,28,34,8,6,50,50,11,9,36,41,15,10,9,5,5,8,14,16,13,19,3,10,,
7870100,60,40,4,1,15,20,9,2,4,4,11,12,462,304,13,15,10,11,4,2,4,11,0,0,9,7,2,2,13,3,2,17,1,0,3,1,1,1,3,4,4,0,379,234,16,15,61,48,25,23,8,3,53,47,7,9,25,39,33,13,5,13,8,10,5,7,18,25,9,10,0,1
