match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancemissed,away_bigchancemissed,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_bigchancescored,away_bigchancescored,home_accuratethroughball,away_accuratethroughball
8310808,48,52,3,1,15,7,4,3,6,2,12,9,419,463,32,13,9,10,4,5,0,1,5,4,1,0,9,2,1,1,7,5,8,2,3,1,4,3,2,4,345,394,10,17,55,51,26,33,4,2,62,38,9,19,52,31,14,10,11,8,20,8,6,9,15,19,6,11,,,,
8310840,50,50,1,0,8,12,5,1,4,2,16,14,407,411,8,16,13,16,4,2,1,0,1,6,1,0,7,5,0,1,3,6,5,6,1,0,1,6,4,2,318,320,16,22,56,75,30,32,5,4,43,57,8,4,27,41,18,18,6,10,6,11,10,11,8,10,10,12,,,,
8310844,49,51,2,1,6,14,6,3,6,9,13,10,392,414,16,21,10,13,4,1,,,3,7,0,0,1,5,2,2,4,8,2,6,2,0,2,0,3,0,302,322,27,32,48,55,28,28,5,7,45,55,14,10,36,43,19,23,11,9,11,11,7,10,32,23,8,3,0,1,0,1
8310804,38,62,3,2,13,13,3,4,7,0,15,9,359,603,17,4,7,15,4,3,,,8,3,0,0,3,6,2,4,6,5,7,8,2,2,3,2,4,3,263,517,19,20,54,54,32,30,4,4,53,47,3,7,29,27,19,15,5,8,10,3,14,12,15,16,9,8,1,0,,
8310815,60,40,,,23,9,1,4,4,1,7,14,511,347,12,21,14,7,0,2,,,4,1,1,0,10,6,9,2,13,6,10,3,,,4,2,0,1,422,253,32,21,58,51,22,28,8,1,52,48,17,5,40,35,22,22,15,8,8,14,12,6,18,24,9,12,,,,
8310813,57,43,0,2,7,10,2,1,5,5,14,13,484,377,22,17,13,12,3,3,,,1,3,0,1,3,6,3,1,3,8,4,2,0,1,3,1,1,2,393,302,27,19,67,44,30,17,5,5,46,54,12,13,45,43,14,25,10,15,14,7,7,14,4,41,4,8,0,1,,
8310842,48,52,1,1,15,18,1,6,5,9,14,17,404,434,20,26,17,14,2,0,,,7,2,0,0,3,8,5,8,4,13,11,5,1,0,3,3,2,3,330,357,22,23,51,60,28,23,6,6,45,55,19,13,49,54,15,23,13,15,12,13,12,7,26,20,7,9,0,1,,
8310825,57,43,2,1,9,15,4,2,2,11,11,15,411,291,13,14,14,10,3,2,0,1,5,4,0,0,4,5,0,6,6,7,3,8,1,1,1,0,3,3,331,207,26,26,50,38,32,16,0,3,50,50,11,6,36,38,17,15,12,14,10,9,7,14,28,15,10,7,1,0,0,1
8310827,76,24,6,0,19,4,0,3,4,2,14,18,737,227,18,10,15,13,1,4,,,9,0,1,0,8,2,2,2,10,3,9,1,3,0,8,2,1,5,664,175,19,13,57,21,40,15,3,2,60,40,8,13,41,28,9,6,8,6,13,4,10,20,3,19,2,11,3,0,0,1
8310847,66,34,2,0,8,11,3,1,8,3,19,9,562,279,13,20,9,18,1,1,,,4,3,2,1,4,4,0,4,4,3,4,8,1,0,3,4,2,5,472,187,20,18,55,47,22,25,4,2,47,53,8,10,32,42,21,17,12,7,9,8,10,8,16,18,7,11,1,0,,
