match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards
8915390,49,51,4,2,9,17,6,2,3,11,11,12,389,381,12,9,10,10,1,2,3,8,1,0,4,6,2,3,6,14,3,3,1,1,3,1,1,3,1,0,302,312,22,28,41,61,45,31,5,7,57,43,5,7,33,23,20,17,11,5,7,7,8,14,29,7,8,8,,,,
8915444,35,65,3,0,7,20,6,3,8,6,19,10,303,556,24,13,10,19,4,3,6,7,1,0,1,8,0,5,6,11,1,9,3,0,,,1,8,2,2,211,465,11,26,48,79,29,35,2,9,45,55,12,17,36,46,14,15,3,15,13,9,21,7,22,6,11,4,,,,
8915442,49,51,3,3,10,13,4,3,7,6,14,11,393,436,18,16,9,13,4,2,4,6,1,0,3,5,3,2,7,10,3,3,0,2,3,1,3,2,2,2,303,342,19,19,59,45,23,26,7,6,47,53,11,11,36,41,13,15,9,13,8,10,13,13,20,34,6,6,0,1,,
8915466,61,39,8,1,23,9,1,9,8,6,13,12,544,347,24,17,11,13,2,3,12,2,1,0,8,4,3,3,17,3,6,6,3,0,5,1,3,3,3,1,458,259,14,26,52,52,27,26,9,2,61,39,10,13,47,35,22,10,12,5,17,13,12,7,19,21,7,8,3,1,,
8915445,42,58,4,2,11,8,0,1,4,6,15,13,338,465,13,13,13,14,0,3,6,1,1,0,5,4,0,3,7,6,4,2,3,0,1,2,4,4,0,3,280,397,12,22,34,51,25,19,5,5,51,49,7,6,32,34,11,7,6,7,8,8,13,11,23,10,6,5,1,2,,
8915487,34,66,0,4,6,12,3,1,1,6,12,16,279,521,13,16,14,10,3,2,2,3,1,0,4,5,0,4,5,8,1,4,,,0,4,2,5,1,3,206,453,22,26,50,50,25,23,3,8,52,48,11,7,31,32,14,10,5,6,11,9,13,7,24,6,17,7,,,,
8915450,49,51,1,2,8,12,2,3,6,3,16,12,314,330,8,4,12,14,3,0,5,5,0,1,2,6,1,1,6,10,2,2,1,1,0,1,4,5,3,0,227,235,16,24,68,52,33,19,5,6,48,52,1,3,23,27,19,19,3,9,5,3,6,6,7,20,9,7,,,,
8915391,38,62,2,0,9,6,0,3,2,3,12,18,312,514,12,14,18,12,1,1,5,1,0,0,3,4,1,1,6,2,3,4,2,0,,,1,1,2,3,242,430,26,26,37,79,21,25,3,1,53,47,9,7,41,36,13,11,11,10,9,8,17,10,24,12,6,9,,,,
8915421,49,51,0,4,8,12,2,3,4,3,7,17,444,460,19,15,16,7,3,2,4,5,0,0,2,6,2,1,2,8,6,4,0,2,0,2,4,2,0,1,379,405,19,18,60,47,35,28,2,5,61,39,10,13,42,27,14,9,7,5,10,10,7,8,10,12,8,7,,,1,0
8915424,37,63,1,0,12,15,2,4,1,6,12,14,334,538,16,10,13,12,1,2,6,2,0,0,6,7,0,6,6,10,6,5,1,0,,,2,4,2,0,243,450,24,22,38,88,26,31,1,8,54,46,6,9,34,27,22,20,7,5,8,8,13,15,29,6,9,7,,,,
