match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_redcards,away_redcards,home_bigchancemissed,away_bigchancemissed,home_accuratethroughball,away_accuratethroughball
9643882,51,49,2,0,19,3,0,3,4,5,23,16,495,467,22,20,16,22,2,1,6,0,0,0,6,2,7,1,14,3,5,0,2,0,1,3,1,1,427,387,15,23,54,50,32,19,3,1,49,51,13,16,48,53,10,7,10,12,15,11,19,6,16,12,4,7,,,,,,
9643881,64,36,2,2,11,11,2,2,4,1,10,15,667,362,14,15,13,9,2,3,6,4,0,1,3,6,2,1,7,7,4,4,1,1,1,3,1,0,589,300,24,13,70,40,24,27,0,4,51,49,3,7,34,34,13,11,7,11,8,8,5,11,7,19,8,8,0,1,1,1,1,0
9643888,38,62,4,0,16,8,3,4,2,4,15,10,356,576,25,11,9,15,0,1,7,3,2,0,6,4,3,1,15,3,1,5,2,0,0,2,2,1,261,478,20,22,67,65,22,30,5,3,55,45,7,13,42,33,12,12,8,7,16,2,12,12,21,18,4,11,,,2,0,2,0
9643889,56,44,2,1,10,11,2,1,7,3,12,13,398,331,10,11,12,12,3,3,2,3,1,0,7,4,1,4,8,6,2,5,1,0,3,3,3,1,333,261,19,15,61,46,44,17,6,2,57,43,2,6,33,30,18,9,11,7,6,7,12,7,7,29,8,13,,,1,1,1,1
9643887,58,42,1,1,17,8,3,4,8,0,17,9,550,403,14,12,9,16,0,2,5,4,0,1,7,2,5,2,11,3,6,5,,,4,3,2,2,477,326,24,18,44,29,20,29,6,2,45,55,10,6,29,37,16,17,6,9,8,8,10,8,13,25,1,11,,,1,1,2,1
9643886,48,52,0,1,21,13,3,7,5,6,9,13,411,459,12,15,12,9,1,2,7,4,1,1,7,7,7,2,12,8,9,5,0,1,2,1,1,2,333,371,20,14,60,55,33,32,7,5,52,48,9,8,34,28,18,20,10,4,10,9,12,11,6,20,9,7,,,,,,
9643884,41,59,2,1,4,12,3,1,2,8,17,13,298,418,25,16,12,13,3,5,2,4,0,0,2,6,0,2,3,7,1,5,1,0,1,4,1,3,223,344,15,24,48,50,18,30,1,9,45,55,8,20,44,37,10,29,7,9,14,9,15,9,16,8,13,5,,,1,1,1,0
9643885,51,49,2,1,14,14,4,3,5,3,13,9,444,442,14,12,9,12,0,2,3,5,0,0,8,5,3,4,10,9,4,5,0,1,1,0,,,371,371,23,28,57,56,34,29,10,3,48,52,3,8,29,35,15,13,6,11,8,7,6,11,16,25,10,7,,,2,0,,
9643883,40,60,1,6,16,14,3,2,8,2,7,11,349,556,9,14,10,6,2,1,3,8,0,1,10,2,3,4,12,11,4,3,0,4,4,1,2,1,299,493,13,20,37,57,36,34,9,2,53,47,9,4,25,24,8,5,6,4,4,8,6,5,6,19,5,11,,,1,2,1,2
9643880,36,64,0,6,7,10,4,1,5,4,12,14,307,595,19,19,13,11,0,2,1,6,0,0,5,4,1,0,3,7,4,3,0,2,0,3,4,2,229,514,20,25,43,61,17,24,7,1,50,50,5,11,41,40,12,14,11,10,10,13,9,13,14,16,6,6,1,1,0,4,0,3
