match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_accuratethroughball,away_accuratethroughball,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_redcards,away_redcards,home_ballrecovery,away_ballrecovery
10434043,52,48,0,2,3,13,3,2,1,10,13,11,462,427,21,10,10,13,2,2,2,5,0,0,0,4,1,4,2,8,1,5,0,1,0,1,0,1,0,1,1,4,376,341,14,28,46,66,25,32,2,3,54,46,7,13,38,30,13,14,7,8,12,5,16,8,16,7,9,3,,,,
10434132,49,51,4,2,9,16,4,2,2,6,11,14,375,399,18,19,11,10,2,3,3,6,0,0,4,2,2,8,7,8,2,8,1,0,3,2,1,1,3,3,3,1,284,327,23,27,45,48,32,18,4,3,49,51,7,13,38,38,11,13,9,8,12,11,10,9,20,14,7,7,,,,
10434039,55,45,0,3,20,5,1,5,9,4,22,14,422,354,15,13,13,21,5,2,6,1,0,0,7,2,7,2,12,3,8,2,,,0,3,,,5,1,2,1,354,272,22,14,64,31,21,33,9,1,48,52,3,9,42,45,16,18,15,11,13,10,8,6,15,29,4,14,1,1,,
10434136,51,49,0,4,17,10,2,2,10,3,19,19,428,432,11,12,18,17,2,3,4,6,1,0,7,2,6,2,11,7,6,3,0,3,0,1,0,2,4,1,3,1,349,348,16,18,59,32,29,22,8,3,49,51,10,4,32,34,5,4,3,5,5,3,11,9,14,31,5,6,,,,
10434033,52,48,2,0,14,10,1,3,6,1,21,16,411,402,23,15,16,21,3,2,5,4,0,0,4,3,5,3,7,6,7,4,1,0,1,0,,,3,2,3,2,326,331,16,17,52,49,28,21,5,2,50,50,5,8,49,50,14,13,10,14,10,10,5,14,12,20,5,11,,,,
10434065,44,56,2,1,12,13,3,4,1,6,17,16,328,410,16,19,15,14,2,4,4,4,0,1,6,5,2,4,4,6,8,7,0,1,2,0,1,0,5,1,0,2,250,342,23,17,46,48,24,30,2,5,45,55,7,4,39,46,8,11,8,12,10,10,11,10,17,12,8,13,,,,
10434134,57,43,6,3,15,9,3,3,6,5,14,15,503,372,6,8,13,14,2,3,7,3,1,0,7,3,1,3,14,6,1,3,4,0,2,3,1,0,4,1,3,0,429,291,14,27,43,52,36,17,7,3,47,53,4,2,25,31,9,7,6,9,5,5,14,11,14,10,5,6,,,,
10434133,53,47,4,2,17,10,2,2,5,5,14,13,318,284,22,14,12,14,7,2,6,5,1,0,5,2,6,3,11,4,6,6,2,1,2,1,1,2,4,3,2,2,239,193,32,24,46,49,20,31,5,4,57,43,4,12,46,35,17,12,14,7,14,10,11,11,19,33,5,11,,,,
10434078,47,53,2,2,12,10,0,3,6,3,14,6,436,475,14,14,6,14,1,0,3,0,0,0,5,7,4,3,8,7,4,3,,,2,2,1,0,1,4,3,0,388,419,17,22,38,49,22,25,3,8,47,53,12,6,28,35,9,6,8,7,10,10,6,9,22,16,11,8,,,,
10434041,47,53,3,0,22,7,3,6,11,2,18,10,397,449,9,10,10,18,2,3,7,3,0,0,7,3,8,1,16,4,6,3,,,3,0,1,1,,,4,0,330,370,15,15,47,47,18,40,7,5,43,57,4,3,23,36,15,14,4,8,6,5,3,6,9,19,4,10,,,,
