match_id,home_ballpossession,away_ballpossession,home_expectedgoals,away_expectedgoals,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancemissed,away_bigchancemissed,home_accuratethroughball,away_accuratethroughball,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_ballrecovery,away_ballrecovery,home_totalclearance,away_totalclearance,home_goalsprevented,away_goalsprevented,home_goalkicks,away_goalkicks,home_bigchancescored,away_bigchancescored,home_redcards,away_redcards,home_touchesinoppbox,away_touchesinoppbox,home_finalthirdphasestatistic,away_finalthirdphasestatistic,home_divesaves,away_divesaves,home_highclaims,away_highclaims,home_punches,away_punches,home_errorsleadtoshot,away_errorsleadtoshot,home_errorsleadtogoal,away_errorsleadtogoal,home_penaltysaves,away_penaltysaves
11450001,48,52,1.41,0.94,1,1,14,12,2,3,6,9,18,11,392,414,16,9,10,16,0,1,4,2,1,0,6,5,4,5,11,7,3,5,1,1,0,1,1,1,1,1,323,344,16,19,56,41,26,22,4,6,47,53,4,10,33,44,13,8,8,19,11,7,10,9,58,58,18,12,0.4585,0.1486,7,9,,,,,,,,,,,,,,,,,,,,
11449414,48,52,1.4,0.92,4,2,19,13,2,4,3,5,8,15,370,401,16,13,14,8,1,0,7,4,3,1,10,7,2,2,12,8,7,5,3,1,1,2,3,2,2,0,299,317,21,19,52,45,26,15,7,6,58,42,5,7,41,32,20,12,11,11,13,10,14,11,59,53,28,12,0.405,-0.2888,8,12,1,1,,,,,,,,,,,,,,,,,,
11450000,59,41,1.6,1.06,3,2,16,4,1,1,10,2,14,11,428,313,14,13,9,10,3,5,2,2,0,0,13,1,1,1,10,2,6,2,3,1,,,5,2,0,2,371,248,24,20,65,26,37,16,10,0,52,48,6,5,30,26,15,15,7,5,11,8,11,7,46,37,5,37,0.7518,-0.733,2,18,0,1,1,2,,,,,,,,,,,,,,,,
11449302,39,61,0.92,1.26,1,1,13,17,4,3,3,9,13,6,314,494,12,14,5,11,2,2,3,3,1,0,8,12,2,2,8,9,5,8,1,1,1,0,0,2,3,1,224,402,21,31,47,75,27,30,2,7,45,55,6,8,24,30,16,19,7,6,9,8,11,7,70,62,19,11,0.7863,0.264,19,6,,,,,,,,,,,,,,,,,,,,
11449412,59,41,0.77,3.08,1,7,7,18,4,3,4,2,10,18,515,368,19,11,17,10,0,1,4,9,1,1,3,4,0,5,4,10,3,8,1,5,1,2,2,0,4,3,435,289,15,21,58,40,22,31,2,0,52,48,9,12,39,33,11,13,4,12,9,4,5,7,59,63,5,9,-1.8754,0.1988,4,7,0,2,,,,,,,,,,,,,,,,,,
11449998,51,49,0.93,1.09,1,1,6,11,2,1,4,5,11,11,449,421,20,9,11,10,2,1,2,3,0,0,2,2,2,6,2,5,4,6,1,1,,,1,2,2,1,391,370,14,20,36,58,47,15,2,3,50,50,5,8,39,36,4,7,8,17,11,4,5,9,48,48,10,7,-0.6944,-0.1497,7,4,,,,,,,,,,,,,,,,,,,,
11449413,58,42,0.97,0.47,2,1,12,10,1,4,4,5,15,15,421,283,17,10,12,13,6,6,6,2,0,1,4,6,2,2,6,5,6,5,1,0,2,0,2,4,1,2,333,215,19,19,43,51,20,23,3,4,56,44,5,8,37,33,13,7,8,11,12,5,4,12,49,54,21,12,-0.2174,0.008,11,6,1,1,,,,,,,,,,,,,,,,,,
11449999,70,30,3.96,0.36,8,2,20,4,0,2,3,1,13,12,587,249,22,19,11,13,0,6,5,1,1,0,11,3,4,0,15,3,5,1,6,1,1,0,5,2,2,0,513,172,11,20,65,27,20,9,6,2,57,43,11,11,42,38,14,4,9,6,14,14,4,17,60,49,11,10,-0.496,0.7379,5,14,2,1,0,1,,,,,,,,,,,,,,,,
11449301,52,48,1.05,0.84,1,2,14,11,3,3,4,5,15,14,437,412,11,13,13,14,5,4,5,3,0,1,7,5,2,3,5,8,9,3,1,2,1,0,3,2,1,0,376,341,16,25,57,44,37,30,5,7,49,51,11,7,39,33,12,21,15,6,8,6,11,7,48,36,10,19,0.5061,-1.1962,7,12,,,0,1,,,,,,,,,,,,,,,,
11449997,35,65,0.18,1.93,0,1,4,13,4,0,4,4,14,13,311,585,9,11,13,14,4,1,0,5,0,2,3,2,1,6,1,11,3,2,0,1,0,1,2,5,3,1,239,529,20,20,36,68,25,40,2,3,44,56,6,5,30,34,8,14,8,9,5,6,2,5,50,57,14,6,0.8939,0,5,2,,,,,,,,,,,,,,,,,,,,
11451158,64,36,1.13,1.02,1,2,18,7,2,3,5,5,14,11,532,302,11,17,11,12,2,2,4,3,0,0,6,2,8,2,11,4,7,3,0,1,2,0,4,2,0,2,465,229,21,16,61,39,23,23,13,4,50,50,9,4,33,34,11,10,12,6,7,13,14,16,64,67,15,25,0.3839,0.0787,6,6,1,1,,,,,,,,,,,,,,,,,,
11451160,47,53,0.53,0.66,0,1,8,9,3,2,4,6,11,11,430,487,12,10,11,10,1,0,3,4,0,0,3,3,2,2,4,7,4,2,0,1,,,1,4,2,1,366,415,17,11,50,52,19,37,4,4,45,55,6,9,27,29,5,10,4,9,9,6,9,8,53,56,18,17,-0.8073,-0.5382,4,6,,,,,,,,,,,,,,,,,,,,
11451154,50,50,0.6,0.3,1,0,12,9,2,3,3,3,12,13,382,390,19,18,12,12,3,3,3,2,0,0,3,3,6,4,6,2,6,7,1,0,,,4,1,0,1,310,312,19,19,49,62,28,16,3,1,54,46,7,12,44,37,14,13,13,7,14,12,4,9,62,61,17,16,0.3689,0.5285,4,9,,,0,1,10,8,55,72,0,1,0,2,,,,,,,,
11451159,52,48,2.53,0.26,5,0,16,5,1,3,7,1,21,7,367,357,18,11,6,20,4,3,6,1,0,0,6,2,4,2,13,2,3,3,3,0,2,0,2,2,4,2,272,242,20,22,55,72,24,32,7,1,51,49,5,5,31,36,21,13,7,7,9,5,9,8,64,54,15,18,0.2674,0.5095,5,11,2,0,,,,,,,,,,,,,,,,,,
11451163,67,33,0.58,0.8,,,10,11,2,2,3,1,8,8,593,286,18,16,8,8,,,2,2,0,1,7,6,1,3,6,5,4,6,,,,,2,0,3,3,515,210,21,29,62,40,21,12,4,1,51,49,4,10,36,38,15,11,10,15,11,8,6,15,53,52,15,16,0.4576,0.3178,10,10,,,,,,,,,,,,,,,,,,,,
11451156,62,38,1.04,0.65,1,0,13,12,2,4,5,4,12,14,573,355,15,13,14,12,3,4,5,3,0,1,6,5,2,4,9,9,4,3,1,0,,,2,0,2,0,492,287,24,13,75,30,26,28,10,5,59,41,7,6,37,31,24,11,8,6,11,11,10,11,57,57,8,20,-1.4806,0.8255,5,8,,,,,,,,,,,,,,,,,,,,
11451157,61,39,1.38,1.16,3,1,14,12,0,5,6,4,11,9,527,327,18,14,8,11,4,4,6,1,1,0,4,7,4,4,10,7,4,5,2,0,,,2,2,2,3,453,246,26,29,60,40,30,21,8,5,51,49,11,13,34,33,11,10,8,9,12,12,5,9,60,58,15,21,-0.0049,1.1458,5,10,1,1,,,,,,,,,,,,,,,,,,
11451161,56,44,1.15,1.45,3,2,13,12,3,2,7,4,19,18,434,355,24,18,16,19,6,3,3,6,1,0,5,5,5,1,7,7,6,5,2,1,1,2,2,1,1,1,354,277,21,25,62,34,21,32,7,3,52,48,11,10,53,41,13,21,13,5,11,13,9,9,63,63,8,34,-0.4679,0.3126,6,9,1,1,,,,,,,,,,,,,,,,,,
11451155,43,57,1.78,1.35,2,1,18,12,4,4,3,4,9,10,373,482,19,14,9,8,1,1,4,6,0,0,9,3,5,3,12,5,6,7,1,0,,,0,2,2,3,307,410,23,22,41,61,20,38,3,6,55,45,7,9,42,34,7,6,14,12,14,7,7,17,55,58,9,6,0.7354,0.2088,8,13,1,1,,,,,,,,,,,,,,,,,,
11451162,40,60,0.12,1.7,1,3,5,14,4,1,2,5,11,10,312,469,8,11,8,11,1,1,1,6,0,0,3,5,1,3,3,10,2,4,1,2,0,1,0,3,3,4,233,395,26,22,31,59,24,15,1,7,40,60,8,4,23,34,15,22,7,12,5,7,6,10,47,57,20,13,-0.5105,0.043,10,5,0,1,,,,,,,,,,,,,,,,,,
11451145,52,48,1.88,0.94,5,3,17,8,3,5,10,2,9,8,388,367,13,14,7,9,1,2,7,3,0,1,7,4,3,1,11,7,6,1,3,3,,,2,0,1,1,317,292,34,20,62,44,24,26,8,2,47,53,10,9,25,28,12,14,5,5,9,7,11,11,55,45,13,22,1.0321,0.2622,6,12,2,0,,,,,,,,,,,,,,,,,,
11451150,48,52,1.54,1.71,2,2,10,17,5,2,9,2,11,19,418,477,17,16,17,9,3,2,3,6,0,0,4,8,3,3,7,11,3,6,1,1,,,4,1,3,0,326,393,20,16,69,52,13,28,4,1,51,49,15,13,42,39,18,19,8,14,12,9,12,11,67,70,13,31,0.9303,0.2359,11,7,1,1,0,1,,,,,,,,,,,,,,,,
11451147,68,32,2.08,1.77,2,2,21,13,4,3,9,2,10,18,532,251,20,14,16,7,1,2,5,7,0,1,7,4,9,2,11,9,10,4,,,,,3,3,0,2,447,173,26,13,61,45,27,20,5,8,64,36,8,7,46,33,23,6,10,12,12,13,1,7,56,63,12,34,-0.5889,-0.1152,3,10,2,2,,,28,16,132,42,1,2,1,1,0,1,,,,,,
11451144,54,46,0.84,0.62,2,1,6,9,3,1,3,4,12,15,458,392,17,14,13,11,3,3,2,4,0,0,2,3,2,2,5,7,1,2,1,0,,,0,2,7,2,395,332,20,15,51,41,26,17,2,4,56,44,11,8,41,30,8,9,11,5,11,10,7,5,45,44,9,10,-0.2334,-0.0676,9,5,1,1,,,,,,,,,,,,,,,,,,
11451148,47,53,0.57,0.62,1,1,6,8,4,1,3,5,15,12,486,559,8,10,9,15,1,1,2,5,0,0,3,3,1,0,4,5,2,3,1,0,0,1,1,2,0,2,430,495,12,21,55,61,34,31,5,2,41,59,6,6,22,37,5,2,5,12,4,9,10,3,49,48,18,14,0.4902,-0.8,3,3,0,1,,,,,,,,,,,,,,,,,,
11451153,54,46,1.12,1.42,3,2,13,6,0,2,3,2,7,8,484,400,15,10,8,7,,,4,1,0,0,8,4,1,1,11,4,2,2,2,1,,,1,0,2,2,414,328,27,17,61,50,26,23,3,4,56,44,6,6,31,25,17,12,8,8,5,7,3,9,52,55,17,19,-0.49,-0.7455,11,7,1,1,,,,,,,,,,,,,,,,,,
11451152,61,39,1.62,0.21,3,0,19,6,0,8,9,1,10,17,474,313,14,10,15,8,4,3,8,0,2,0,10,3,1,3,14,3,5,3,3,0,,,,,7,1,396,232,25,15,61,41,36,36,10,1,60,40,3,10,34,22,20,14,5,5,7,5,10,6,56,61,11,24,0,1.3936,5,11,,,,,,,,,,,,,,,,,,,,
