match_id,home_ballpossession,away_ballpossession,home_expectedgoals,away_expectedgoals,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_accuratethroughball,away_accuratethroughball,home_touchesinoppbox,away_touchesinoppbox,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_finalthirdphasestatistic,away_finalthirdphasestatistic,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_ballrecovery,away_ballrecovery,home_totalclearance,away_totalclearance,home_goalsprevented,away_goalsprevented,home_highclaims,away_highclaims,home_punches,away_punches,home_goalkicks,away_goalkicks,home_divesaves,away_divesaves,home_errorsleadtoshot,away_errorsleadtoshot,home_redcards,away_redcards,home_errorsleadtogoal,away_errorsleadtogoal,home_penaltysaves,away_penaltysaves
12528189,71,29,3.58,0.57,9,1,26,10,3,7,12,2,11,15,479,204,19,22,15,11,0,3,9,4,1,1,11,5,6,1,20,5,6,5,2,1,7,0,4,0,43,10,5,2,1,1,405,130,25,22,73,34,122,25,25,14,8,0,53,47,10,7,38,41,25,15,5,9,15,16,6,14,51,45,15,34,0.6621,0.3244,0,1,0,1,7,15,,,,,,,,,,
12528188,60,40,0.7,0.76,1,1,8,11,1,0,2,7,11,11,412,265,15,16,11,11,5,3,2,4,0,1,5,4,1,3,6,7,2,4,1,1,,,0,1,18,20,2,3,3,0,315,178,24,29,65,50,56,54,26,17,2,7,42,58,7,9,31,31,12,28,7,5,6,11,8,7,52,36,19,29,-1.9652,-0.8598,,,2,0,8,10,1,0,,,,,,,,
12528191,63,37,0.31,0.82,,,12,10,2,3,4,6,8,21,383,213,17,16,21,7,2,1,3,2,0,0,7,6,2,2,3,8,9,2,,,,,,,17,20,1,2,3,3,302,141,29,22,53,52,61,37,24,24,3,8,56,44,13,10,39,27,19,18,3,4,10,9,7,7,30,44,23,30,0.1556,0.0368,,,0,2,11,9,,,,,,,,,,
12528186,53,47,1.49,0.27,3,0,12,6,0,4,9,4,16,12,405,368,18,15,11,15,2,2,5,0,0,0,3,2,4,4,9,2,3,4,1,0,2,0,1,0,31,5,3,1,5,0,343,302,18,19,47,31,90,38,31,13,9,0,54,46,7,12,34,34,15,8,6,5,9,6,4,13,43,44,17,17,0,0.6838,1,3,2,0,3,6,,,1,0,,,,,,
12528185,32,68,0.65,1.07,,,14,16,2,5,5,7,12,11,233,522,11,9,11,12,1,0,5,2,1,1,7,9,2,5,11,10,3,6,,,,,,,23,26,0,2,,,166,451,19,16,33,67,47,126,29,26,8,4,44,56,6,8,22,31,8,7,1,10,5,8,4,5,37,49,29,16,0.2004,0.8115,0,1,0,2,17,7,2,1,0,1,,,,,,
12528190,62,38,1.93,0.41,4,1,14,6,1,7,6,1,6,12,551,344,13,15,12,6,1,1,7,2,0,1,5,3,2,1,10,3,4,3,1,0,3,1,1,1,30,9,2,0,1,4,491,293,25,11,62,36,102,42,30,22,4,2,56,44,5,5,34,27,12,9,10,6,9,7,9,10,40,41,3,25,-0.2595,0.3909,1,0,0,2,1,9,1,0,0,1,,,,,,
12528192,58,42,1.25,0.51,2,0,19,10,0,4,6,2,11,10,445,335,15,19,9,10,2,1,4,2,1,0,12,4,3,4,10,2,9,8,,,2,0,,,22,6,4,5,3,0,381,251,16,20,60,33,114,45,21,12,7,1,39,61,10,7,27,37,5,13,3,8,12,11,11,13,57,51,10,19,-1.1954,0.4818,1,3,,,6,16,,,,,,,,,,
12528193,62,38,0.77,0.29,1,0,16,5,0,3,4,1,13,9,444,276,13,12,8,13,2,2,3,1,0,0,12,3,1,1,9,3,7,2,,,1,0,,,27,7,1,2,2,1,353,184,25,23,67,35,105,27,23,14,6,3,45,55,4,6,26,32,17,21,6,7,8,8,16,9,61,50,2,23,-0.7183,0.6216,,,,,5,16,0,2,0,2,0,1,,,,
12528187,59,41,1.61,0.3,1,0,23,6,0,4,12,1,14,14,423,304,18,18,14,13,0,2,5,1,0,0,10,3,8,2,16,3,7,3,,,1,0,1,0,34,7,2,1,,,345,226,31,11,50,45,103,39,21,14,5,4,49,51,9,13,36,35,17,21,5,4,9,13,6,10,43,43,5,29,-0.7802,0.735,1,1,0,1,6,12,0,3,0,2,,,,,,
12528199,41,59,1.78,1.02,1,1,17,7,1,2,5,8,5,17,321,487,8,13,16,5,1,1,3,3,0,0,10,3,4,1,8,4,9,3,0,1,1,0,,,20,19,3,0,3,2,213,370,18,25,66,68,61,62,24,26,5,3,45,55,5,4,26,28,20,29,2,11,2,9,8,15,52,52,25,16,-0.0276,-0.0033,,,1,0,8,11,1,0,,,,,,,,
12528196,67,33,1.83,1.18,3,2,20,9,2,6,5,4,14,13,534,260,14,11,13,14,1,3,7,4,0,1,9,3,4,2,13,5,7,4,1,1,2,1,2,0,31,9,1,3,3,0,464,202,21,12,59,55,96,44,23,32,10,5,48,52,8,10,30,30,17,21,4,6,8,9,8,14,50,41,15,31,0.1074,1.1079,1,3,,,4,14,1,1,0,1,0,1,1,0,,
12528194,53,47,1.26,1.45,1,4,11,12,3,3,1,6,14,16,405,350,13,18,16,11,2,0,4,5,0,0,5,6,2,1,7,11,4,1,1,2,0,2,0,1,15,32,2,2,0,5,334,273,18,21,44,31,66,50,26,25,4,7,47,53,6,8,32,36,10,12,3,7,10,9,11,12,47,45,18,9,0.0359,0.4037,1,0,,,9,8,0,1,,,,,,,,
12528201,45,55,0.87,2.13,0,4,15,14,3,5,5,5,19,12,307,389,18,16,11,19,3,3,7,5,0,0,6,6,2,3,8,9,7,5,0,2,0,2,0,4,16,20,4,5,1,6,221,303,10,20,47,70,68,78,16,29,8,4,47,53,6,11,33,41,25,25,4,7,10,6,11,3,50,52,21,19,0.1188,0.1482,0,4,,,8,4,,,,,,,,,,
