player_id,name,short_name,position,jersey_number,height,preferred_foot,date_of_birth_ts,team_id,market_value_eur,nationality,roster_source
28381,Fernando Muslera,F. Muslera,G,16,190,,519264000,3061,685000,Uruguay,season_lineups
552680,Léo Dubois,L. Dubois,D,,178,,779500800,3061,,France,season_lineups
566102,Davinson Sánchez,D. Sánchez,D,6,187,,834537600,3061,18500000,Colombia,season_lineups
178963,Abdülkerim Bardakcı,A. Bardakcı,D,42,185,,778896000,3061,7100000,Türkiye,season_lineups
886737,Derrick Köhn,D. Köhn,M,39,180,,918086400,3061,4200000,Ghana,season_lineups
754794,Lucas Torreira,L. Torreira,M,34,168,,823996800,3061,12400000,Uruguay,season_lineups
142619,Kerem Demirbay,K. Demirbay,M,26,185,,741657600,3061,1300000,Germany,season_lineups
249437,Hakim Ziyech,H. Ziyech,M,7,181,,732499200,3061,2800000,Morocco,season_lineups
32493,Dries Mertens,D. Mertens,M,,169,,547257600,3061,,Belgium,season_lineups
904096,Barış Alper Yılmaz,B. A. Yılmaz,M,53,186,,959040000,3061,28000000,Türkiye,season_lineups
233114,Mauro Icardi,M. Icardi,F,9,181,,730080000,3061,5200000,Argentina,season_lineups
913593,Gabriel Sara,G. Sara,M,8,178,,930355200,3061,21000000,Brazil,season_lineups
147745,Michy Batshuayi,M. Batshuayi,F,30,185,,749520000,3061,3200000,Belgium,season_lineups
903324,Kerem Aktürkoğlu,K. Aktürkoğlu,F,9,173,,908928000,3061,23000000,Türkiye,season_lineups
992912,Berkan Kutlu,B. Kutlu,M,18,186,,885686400,3061,1800000,Türkiye,season_lineups
857738,Yunus Akgün,Y. Akgün,M,11,173,,962928000,3061,16700000,Türkiye,season_lineups
103457,Günay Güvenç,G. Güvenç,G,19,187,,677808000,3061,310000,Türkiye,season_lineups
138152,Kaan Ayhan,K. Ayhan,D,23,185,,784425600,3061,1900000,Türkiye,season_lineups
846148,Victor Nelsson,V. Nelsson,D,15,187,,908323200,3061,8000000,Denmark,season_lineups
997155,Metehan Baltacı,M. Baltacı,D,3,189,,1036281600,3061,2100000,Türkiye,season_lineups
962283,Yusuf Demir,Y. Demir,F,22,173,,1054512000,3061,930000,Austria,season_lineups
1126433,Elias Jelert,E. Jelert,D,38,178,,1055376000,3061,7600000,Denmark,season_lineups
1215206,Efe Akman,E. Akman,M,8,175,,1142812800,3061,535000,Türkiye,season_lineups
