match_id,home_ballpossession,away_ballpossession,home_expectedgoals,away_expectedgoals,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_accuratethroughball,away_accuratethroughball,home_touchesinoppbox,away_touchesinoppbox,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_finalthirdphasestatistic,away_finalthirdphasestatistic,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_ballrecovery,away_ballrecovery,home_totalclearance,away_totalclearance,home_goalsprevented,away_goalsprevented,home_highclaims,away_highclaims,home_goalkicks,away_goalkicks,home_errorsleadtogoal,away_errorsleadtogoal,home_divesaves,away_divesaves,home_errorsleadtoshot,away_errorsleadtoshot,home_punches,away_punches,home_penaltysaves,away_penaltysaves
14109605,40,60,0.14,2.55,0,5,5,15,2,2,1,4,14,15,322,470,14,17,15,12,2,4,1,0,2,5,0,1,1,9,2,1,2,10,3,5,0,3,0,2,0,1,12,33,0,3,0,2,265,419,14,17,35,53,39,103,30,30,1,7,46,54,8,5,35,40,5,7,6,10,8,9,4,10,42,51,19,14,-0.8105,0.0604,2,0,12,6,,,,,,,,,,
14109603,62,38,1.16,0.34,1,0,9,8,0,1,2,3,12,12,521,314,15,16,11,12,1,0,,,3,1,0,0,6,2,0,5,5,2,4,6,1,0,,,,,19,7,3,1,3,2,454,247,23,17,57,38,75,40,28,29,1,3,51,49,8,7,30,29,10,9,4,2,11,8,2,10,47,43,26,25,-0.3305,-1.0267,1,2,3,10,0,1,0,1,,,,,,
14109601,37,63,1.74,0.68,2,2,16,10,1,4,3,3,12,21,252,417,6,7,21,12,3,4,,,6,2,0,0,8,5,2,3,12,5,4,5,1,1,1,1,3,0,17,18,0,2,1,2,176,337,16,27,44,79,33,66,25,27,6,3,52,48,3,2,29,23,13,16,4,5,1,4,12,6,37,35,33,20,-0.1884,-0.2975,,,9,8,,,,,,,,,,
14109607,56,44,1.67,1.04,3,3,13,17,1,1,3,5,9,14,370,289,18,19,14,9,2,1,,,1,4,0,0,6,9,6,4,9,9,4,8,0,2,3,1,2,0,22,27,0,2,3,1,288,200,18,16,41,69,53,85,32,31,2,6,51,49,12,5,36,37,33,29,6,11,9,13,13,10,47,46,58,25,-1.386,0.2272,1,0,12,9,,,,,,,,,,
14109600,63,37,2.09,2.07,4,4,16,16,1,2,8,7,9,12,440,258,13,22,12,8,2,1,,,3,5,0,0,10,4,3,7,10,10,6,6,1,3,3,1,1,0,27,21,3,4,2,1,373,184,19,20,51,37,108,58,22,16,9,9,48,52,9,5,33,38,14,12,8,8,11,16,7,6,55,52,10,31,-0.8642,0.6648,0,1,4,14,,,1,2,2,1,0,2,,
14109602,56,44,1.05,1,2,2,11,12,2,0,3,5,9,16,434,339,18,22,16,9,2,0,,,1,2,0,0,7,7,3,3,6,7,5,5,1,0,1,2,,,20,16,1,1,0,2,365,269,21,28,66,49,70,49,25,29,9,4,57,43,15,9,38,33,26,15,7,3,12,12,12,13,46,41,31,18,0.4298,-0.538,1,1,8,13,,,,,,,,,,
14613411,48,52,0.39,0.13,,,6,4,0,2,3,4,14,16,381,409,12,15,16,14,2,2,,,2,1,0,0,2,1,2,2,5,2,1,2,,,,,1,0,15,14,,,4,5,294,331,21,25,38,60,46,53,12,33,2,2,50,50,11,4,31,36,13,8,4,8,10,10,7,12,50,52,24,12,-1.3771,0.7636,0,3,5,8,,,,,,,,,,
14613405,62,38,2.95,0.47,4,1,19,5,0,4,8,0,10,11,558,347,21,11,10,10,1,2,,,7,2,1,0,6,3,6,0,14,4,5,1,1,1,3,0,1,0,26,10,2,0,4,1,481,279,27,17,72,36,121,41,23,18,7,4,59,41,5,11,36,23,14,12,5,2,13,8,4,12,56,50,14,30,-1.6552,0.6478,1,0,4,10,1,0,0,3,0,1,,,0,1
14683084,51,49,0.66,2.36,1,5,6,13,5,2,4,5,17,14,401,392,15,10,14,17,4,2,,,2,9,0,0,2,3,2,1,4,12,2,1,0,3,1,2,1,1,19,23,1,1,1,5,311,310,23,24,53,43,75,61,31,20,4,3,42,58,5,10,31,33,4,15,2,6,9,6,9,16,47,59,22,20,-0.35,0.6342,0,1,6,8,1,0,1,1,,,0,1,,
14109615,72,28,3.2,0.72,5,1,28,6,2,5,10,3,11,12,588,225,17,18,12,11,0,1,0,1,8,2,0,0,14,3,6,1,18,2,10,4,2,0,3,1,1,0,47,5,3,1,1,3,530,160,19,13,62,31,180,14,29,11,12,3,55,45,10,9,36,32,15,9,7,5,11,11,4,6,42,32,12,32,0.4509,-1.1017,,,7,23,0,2,0,2,,,1,0,,
14109617,39,61,0.71,0.73,2,2,13,13,5,6,4,7,10,16,241,374,10,6,16,10,2,2,1,0,5,5,2,2,7,7,1,1,11,8,2,5,,,2,2,0,2,15,26,3,0,2,1,160,301,20,18,51,56,29,71,23,15,6,7,54,46,3,10,30,21,23,24,6,6,5,4,8,11,34,48,12,25,0.2145,0.5643,,,17,5,,,1,0,,,,,,
14109612,43,57,0.47,1.44,0,3,9,7,3,1,3,1,22,14,372,504,13,14,14,22,1,2,,,1,3,0,0,4,4,4,0,4,5,5,2,,,0,3,0,3,14,21,2,2,0,1,292,432,17,12,47,58,55,81,21,27,4,4,40,60,6,7,32,49,12,18,7,14,7,9,5,6,45,51,26,32,0.4209,0.0089,,,10,5,,,,,1,0,,,,
14109614,40,60,0.59,1.94,0,2,12,12,1,2,3,6,24,13,271,397,12,9,13,23,7,5,2,1,2,1,0,0,4,7,6,4,7,8,5,4,,,0,2,,,27,23,5,4,1,1,197,337,18,18,59,53,58,72,21,18,5,4,43,57,5,3,28,35,20,28,3,3,6,7,10,8,29,33,33,34,0.7597,0.3004,0,3,9,5,,,0,1,0,1,3,0,1,0
14109616,45,55,1.14,0.65,3,0,14,8,3,2,8,3,3,9,366,463,12,13,9,3,0,2,,,2,4,0,0,6,4,6,0,9,6,5,2,,,3,0,1,0,20,18,,,2,3,297,373,22,19,49,51,52,46,27,22,7,5,56,44,7,2,30,23,13,11,9,7,9,6,9,3,43,51,20,33,-0.005,0.4395,1,1,10,10,,,,,2,0,0,2,,
14109610,50,50,2.09,0.77,4,0,15,17,2,4,2,6,17,11,396,384,18,16,11,17,3,3,,,7,1,0,0,4,10,4,6,11,10,4,7,2,0,2,0,,,31,27,1,2,3,3,333,330,16,15,62,46,85,77,31,24,7,5,51,49,8,8,36,38,11,7,7,5,9,9,5,12,43,41,14,16,0.0281,-0.6622,,,12,9,,,,,0,1,,,,
14109613,57,43,0.81,0.44,1,0,13,9,2,3,5,7,12,13,481,354,16,17,13,12,1,1,,,4,3,0,0,6,4,3,2,8,6,5,3,1,0,,,2,1,28,17,2,0,,,418,285,17,16,36,51,57,77,22,28,4,2,55,45,5,6,40,31,17,15,12,5,8,12,10,9,38,33,20,17,-0.1441,0.1559,1,1,7,10,,,1,0,,,1,0,,
14109611,54,46,2.68,1.27,5,2,18,11,3,7,10,3,14,10,429,369,19,20,9,14,2,2,,,9,4,0,0,5,4,4,3,14,6,4,5,2,1,3,1,0,1,44,26,4,0,4,4,377,302,10,12,52,35,114,57,19,20,6,5,49,51,9,12,37,42,14,11,8,9,11,15,5,8,42,38,25,26,-0.1505,0.9934,0,1,6,13,,,1,4,0,1,,,,
14109609,44,56,0.2,1.16,0,1,8,11,,,6,4,24,13,310,409,25,14,13,24,2,2,,,0,1,0,1,6,6,2,4,3,5,5,6,0,1,,,,,15,19,0,5,2,2,244,348,21,18,54,42,52,60,35,32,4,2,47,53,6,12,39,43,9,11,3,8,12,11,10,5,35,37,14,18,-0.1456,0,0,2,7,11,,,,,,,0,1,,
14109622,65,35,0.33,1.88,0,4,11,16,4,2,4,6,13,19,440,227,11,24,19,13,2,2,,,2,7,0,0,6,5,3,4,2,8,9,8,0,2,0,2,0,1,9,18,1,3,1,1,361,158,25,25,44,56,74,59,18,30,0,7,44,56,14,5,32,40,13,18,4,5,6,13,6,11,39,36,30,26,-0.1774,0.0406,,,10,8,1,0,,,1,1,3,0,,
14109624,57,43,1.56,0.3,4,0,21,7,0,4,6,0,12,15,390,296,25,8,15,12,1,3,,,7,1,1,1,7,5,7,1,10,1,11,6,2,0,2,0,,,22,3,6,2,1,1,323,233,18,17,51,31,80,44,22,21,8,1,65,35,3,17,45,24,17,10,6,5,17,4,3,9,44,38,5,22,-0.6789,-0.1323,0,1,6,9,,,0,1,,,0,1,,
14109623,71,29,2.5,0.51,3,1,25,7,2,2,10,4,12,18,502,211,14,12,17,12,3,6,0,1,4,3,0,0,14,2,7,2,15,6,10,1,2,1,1,0,2,0,33,16,5,1,4,1,441,144,18,10,74,43,88,35,29,19,8,3,59,41,8,9,36,25,11,8,4,3,7,10,3,8,53,43,13,40,-0.0421,-0.0424,0,1,3,14,,,1,0,2,0,0,1,,
14109620,50,50,1.82,0.63,2,1,17,7,4,5,5,5,12,13,410,415,10,15,13,12,1,2,,,6,4,0,0,9,3,2,0,10,5,7,2,1,0,1,1,,,28,11,3,2,2,1,343,333,18,23,40,43,55,44,20,29,2,3,53,47,6,5,27,29,19,12,6,3,5,9,5,7,41,41,26,19,1.1464,0.3904,1,0,6,12,,,3,1,0,1,2,0,,
14109627,34,66,0.92,3.35,1,8,8,19,5,2,6,3,5,8,254,521,12,11,8,5,2,2,,,2,9,0,1,6,10,0,0,6,15,2,4,0,3,1,5,1,5,25,37,3,0,2,1,185,456,26,21,48,60,58,111,23,29,5,7,48,52,5,8,24,22,9,14,5,7,6,7,6,4,41,51,24,28,-0.7941,0.1455,0,2,14,13,,,1,1,,,0,2,,
14109618,44,56,0.56,1.4,1,2,5,12,1,1,0,5,19,18,370,466,14,12,18,18,3,3,,,3,2,0,1,2,7,0,3,4,8,1,4,1,1,0,1,2,2,12,25,0,2,1,2,305,395,11,23,45,70,30,75,33,20,1,7,51,49,4,7,34,32,11,12,4,2,6,4,6,4,48,50,31,10,-0.2747,-0.8616,1,0,7,3,,,,,1,0,1,0,,
14613415,60,40,1.2,0.85,3,0,10,17,4,3,5,4,15,15,516,336,11,14,15,15,4,3,,,3,4,0,0,2,10,5,3,6,7,4,10,,,3,0,1,0,21,24,0,5,6,1,432,254,20,17,62,68,88,86,22,24,2,6,48,52,9,4,30,31,13,15,6,2,4,7,3,10,50,46,26,32,0.1904,0.5969,1,0,10,6,,,1,1,1,1,,,,
14837589,71,29,0.81,1.69,0,4,22,9,2,3,17,3,7,16,539,229,13,16,16,7,1,3,,,3,4,0,0,12,3,7,2,11,7,11,2,0,2,0,2,,,27,11,3,0,1,0,475,160,32,11,84,32,130,16,34,14,14,3,53,47,10,5,35,31,11,10,7,8,6,9,4,5,40,40,4,52,0.4313,0.4127,0,1,3,15,1,0,,,,,0,1,,
14875545,47,53,0.61,0.97,0,1,14,15,4,4,5,5,16,11,364,424,16,29,11,16,3,2,,,4,4,0,0,3,5,7,6,8,4,6,11,,,0,1,,,17,15,1,2,0,1,287,351,25,16,53,50,65,92,24,21,6,1,39,61,17,13,39,58,8,15,12,16,9,22,5,5,54,49,23,28,0.2508,0.4409,,,7,9,,,2,1,,,,,,
14109633,34,66,1.78,0.59,4,0,18,10,1,7,5,6,17,4,238,472,15,22,4,17,2,2,,,8,2,0,0,7,3,3,5,13,5,5,5,1,0,3,0,0,1,28,13,1,0,1,2,174,389,22,16,58,52,68,75,16,25,8,4,45,55,13,9,25,37,20,18,6,3,9,14,12,5,47,47,32,34,-0.4226,1.9042,,,8,8,,,0,3,0,2,1,0,,
14109628,61,39,2.45,1.18,4,2,20,9,3,4,3,4,15,18,445,300,12,16,17,15,4,4,,,6,6,0,0,12,2,2,1,12,6,8,3,2,1,2,1,,,29,13,7,0,1,3,386,210,15,16,54,39,107,33,23,18,13,2,50,50,5,6,33,34,18,17,5,4,9,12,9,3,57,49,21,36,-0.0134,-0.318,0,3,1,13,,,2,0,,,,,,
14109636,43,57,1.27,0.51,4,1,10,12,1,3,4,7,12,13,326,424,11,14,13,12,3,2,,,4,2,0,0,5,7,1,3,8,2,2,10,1,0,3,1,,,23,9,0,1,1,0,240,346,29,20,62,64,50,88,26,24,2,2,49,51,6,7,30,31,17,17,6,5,8,8,5,7,49,49,31,25,-0.4652,0.5281,3,0,10,5,,,1,0,1,0,1,0,,
14109629,49,51,0.8,1.53,2,5,8,17,4,3,7,4,15,14,362,392,15,10,14,15,0,2,,,5,6,0,0,2,8,1,3,6,6,2,11,0,2,2,3,0,2,16,17,3,2,2,1,292,328,21,21,48,44,61,79,25,11,5,3,56,44,6,10,31,28,13,7,3,5,11,5,6,11,38,39,16,19,-0.3317,-0.0575,2,0,10,5,,,,,0,2,,,,
14109634,65,35,2.28,0.97,4,2,16,9,3,4,5,2,11,9,523,292,24,20,9,11,1,4,,,7,4,1,1,8,4,1,1,12,6,4,3,2,1,2,1,,,23,13,4,1,0,3,458,221,15,16,52,32,113,24,23,19,9,2,53,47,9,15,40,34,12,12,7,3,14,15,6,6,49,41,16,35,-0.3192,-0.2987,1,0,6,10,0,1,0,1,1,0,0,2,,
14109632,51,49,0.69,0.61,1,2,10,12,1,4,5,4,21,11,384,372,15,6,11,21,4,5,,,4,1,0,0,6,9,0,2,8,4,2,8,,,1,2,,,17,11,2,3,0,4,318,316,17,13,44,34,64,54,18,15,4,4,45,55,3,7,30,40,17,17,5,14,11,3,5,5,33,40,21,37,0.0814,1.3219,0,1,11,10,,,0,1,,,,,,
14109635,38,62,1.16,1.68,2,3,9,13,1,2,3,3,9,15,361,581,5,16,15,9,1,0,,,3,3,0,0,3,7,3,3,4,8,5,5,1,2,1,1,,,11,30,0,2,2,2,303,511,14,13,37,50,47,88,21,29,2,6,43,57,8,4,28,35,1,3,8,10,3,12,8,7,42,53,22,7,-1.1875,0.0339,,,5,8,,,1,0,0,1,,,,
14109631,37,63,1.43,2.43,2,4,9,15,4,1,2,6,8,18,331,568,12,15,17,8,1,3,,,3,4,0,2,5,6,1,5,6,11,3,4,2,0,0,4,1,0,18,22,2,0,3,3,268,498,15,16,47,60,51,117,24,15,3,7,54,46,6,6,35,27,8,10,6,5,9,7,10,14,54,48,24,18,0.9461,-0.2687,,,7,7,,,1,0,1,1,1,0,,
14109630,55,45,0.61,1.41,1,2,9,13,3,2,2,10,7,13,438,341,17,19,13,7,1,4,,,3,4,1,0,3,5,3,4,6,6,3,7,1,1,0,1,0,1,26,20,2,0,2,1,374,284,24,18,43,49,86,78,34,27,2,4,52,48,9,7,40,37,13,11,11,12,12,9,1,6,36,42,20,40,0.5653,-0.3184,,,8,6,,,,,,,,,,
14109637,35,65,0.38,1.99,0,4,9,21,8,2,6,6,9,12,304,556,14,27,12,9,3,1,,,2,9,0,1,4,8,3,4,5,14,4,7,0,2,0,2,0,1,16,32,0,2,4,1,235,501,15,20,26,70,31,162,20,25,4,5,43,57,13,6,36,44,7,12,10,9,6,17,10,7,52,47,29,19,-0.3503,0.1869,1,0,13,7,1,0,3,0,2,0,3,0,,
14109641,72,28,0.79,0.59,0,2,14,8,1,2,6,4,8,17,586,224,12,15,17,8,0,4,0,1,2,1,2,1,8,6,4,1,10,3,4,5,,,0,2,0,1,27,17,4,1,2,3,485,140,27,25,74,52,110,46,29,21,1,3,57,43,12,6,35,25,17,15,7,2,8,9,5,13,46,44,18,40,-0.9572,0.7455,0,1,11,12,,,0,1,1,0,0,2,,
14109640,63,37,0.91,1.05,2,1,16,6,2,1,6,2,13,10,508,306,10,14,10,13,3,2,,,3,4,0,1,9,2,4,0,10,3,6,3,1,1,1,0,1,0,36,7,5,2,1,0,432,235,25,17,65,31,121,35,17,34,4,1,47,53,8,5,30,31,11,15,10,5,8,7,6,6,42,35,10,44,-0.4077,-0.6144,,,2,13,,,,,,,0,1,,
14109639,53,47,1.96,0.68,3,0,21,11,3,4,10,5,12,7,413,377,15,17,7,12,3,4,1,1,6,4,1,0,6,4,9,3,15,7,6,4,1,0,2,0,,,48,16,1,2,1,1,354,312,27,15,60,41,126,66,20,19,5,4,45,55,6,7,29,38,12,12,8,9,12,14,9,8,52,54,16,19,-0.5093,0.1296,0,2,3,12,,,1,1,1,1,,,,
14109638,66,34,1.39,1.32,2,3,13,7,2,4,6,1,17,11,498,265,13,13,11,17,5,3,,,5,4,0,0,7,3,1,0,10,4,3,3,1,1,1,2,1,2,17,15,3,3,2,0,415,193,31,22,62,31,62,30,35,15,6,0,48,52,5,6,34,36,10,11,10,7,9,9,6,12,45,30,17,28,-0.7278,-0.0506,,,4,9,1,0,0,1,1,0,,,,
14109645,53,47,0.66,0.48,2,0,8,13,6,5,3,7,12,17,328,301,10,7,17,12,4,1,,,6,7,0,0,2,4,0,2,4,5,4,8,,,2,0,,,10,14,2,3,3,5,240,220,29,19,48,65,68,86,37,21,5,3,50,50,5,6,30,26,20,25,4,8,5,6,4,10,46,53,37,21,-0.0384,-0.2662,,,13,4,,,2,0,,,,,,
14109643,73,27,3.12,0.04,4,0,29,1,1,8,9,0,12,18,603,230,32,16,18,12,4,3,0,1,9,1,2,0,13,0,7,0,17,1,12,0,1,0,3,0,,,52,9,2,1,4,1,537,158,25,16,101,38,229,17,33,22,7,1,60,40,3,12,55,32,9,11,6,6,21,10,9,6,52,53,14,44,0.0337,1.755,0,2,1,12,,,,,,,,,,
14109642,48,52,1.89,0.2,4,1,14,3,2,3,3,6,20,20,324,338,21,17,20,20,5,3,0,1,5,2,0,0,6,0,3,1,8,1,6,2,1,0,3,1,,,27,10,1,5,2,1,251,257,16,22,53,38,68,31,25,36,1,3,49,51,3,12,43,44,16,18,2,7,11,13,12,8,50,46,29,24,0.0907,0.2664,,,2,9,0,1,,,1,2,,,,
14109644,49,51,1.18,1.16,1,1,15,15,4,4,4,7,22,14,355,377,14,18,14,21,4,2,,,5,4,0,0,7,8,3,3,13,2,2,13,,,1,1,,,29,12,2,4,1,1,293,300,14,22,39,45,60,71,19,28,9,1,48,52,10,5,33,46,22,14,5,7,11,10,10,9,37,39,28,19,0.8775,0.0924,,,10,9,,,3,2,0,1,,,1,0
14109652,30,70,2.76,0.63,6,0,13,13,2,2,6,5,16,12,204,464,17,17,12,16,2,1,,,5,2,0,0,6,6,2,5,11,8,2,5,3,0,3,0,,,29,23,0,3,1,1,117,366,19,25,64,59,33,81,18,28,3,7,42,58,6,9,35,39,19,35,7,10,11,12,13,11,51,45,38,25,0.1494,-0.4473,0,1,6,9,,,1,1,,,,,,
14109654,34,66,0.76,1.26,0,2,11,20,2,3,2,4,18,14,220,420,21,16,14,18,3,2,,,4,2,0,0,4,9,3,9,9,12,2,8,,,0,2,,,15,36,0,3,2,3,162,357,20,26,35,55,30,108,35,16,4,6,53,47,10,10,43,40,14,11,8,8,12,11,5,6,32,44,39,15,0.5491,0.04,2,0,21,7,,,,,,,1,0,,
14109647,53,47,0.8,0.79,2,2,13,14,3,4,10,4,12,18,405,359,8,14,18,12,3,3,,,6,4,0,0,4,7,3,3,10,8,3,6,,,2,2,1,0,25,18,1,1,2,1,338,285,19,21,48,53,61,67,53,29,3,5,56,44,3,2,32,27,19,13,8,3,6,9,9,14,30,40,31,24,-0.6019,0.0761,1,1,9,3,,,0,1,,,,,,
14109648,49,51,1.62,0.19,4,0,27,4,0,5,4,5,12,17,391,419,23,25,17,12,2,4,,,6,1,1,0,11,1,10,2,15,2,12,2,1,0,3,0,,,27,8,6,1,2,1,332,328,27,8,61,41,109,56,26,31,11,1,51,49,12,14,52,50,12,11,12,13,11,19,13,7,66,70,17,30,-0.7779,0.8952,0,4,4,9,0,1,,,,,,,,
14109651,53,47,1.83,1.73,3,6,13,13,5,4,7,4,21,14,424,385,10,9,14,21,3,3,,,5,6,0,0,5,6,3,1,7,7,6,6,1,1,2,5,0,3,25,19,4,2,3,0,356,308,20,21,54,34,78,43,26,20,4,4,48,52,4,5,34,37,11,11,10,7,8,5,12,6,47,38,15,31,0.5547,0.6201,0,1,8,9,1,1,0,2,0,1,0,1,,
14109655,58,42,1.28,0.29,1,0,16,8,0,5,8,3,11,19,392,301,17,12,18,11,4,4,,,6,1,0,0,7,3,3,4,8,1,8,7,1,0,,,,,25,5,2,2,2,0,308,219,26,18,65,46,94,29,21,25,7,1,53,47,9,11,42,28,20,27,9,7,12,3,13,13,48,44,20,54,-0.4752,0.5228,1,1,3,13,,,0,2,,,2,0,,
14109646,34,66,1.38,0.8,2,2,17,9,1,1,5,8,11,15,280,551,19,20,15,11,3,1,1,0,2,2,0,0,8,3,7,4,12,6,5,3,,,2,2,,,19,20,1,0,2,1,212,469,16,20,52,66,60,86,16,33,4,3,49,51,10,7,38,37,13,17,4,6,17,11,8,8,43,43,32,15,-0.7111,0.0155,1,0,7,10,1,0,,,0,1,2,0,,
14109650,49,51,2.01,0.55,4,0,14,11,2,3,6,5,16,9,352,364,21,11,9,16,2,2,,,5,3,1,0,7,5,2,3,9,4,5,7,2,0,2,0,1,0,26,15,0,4,2,0,275,281,22,25,49,54,56,85,33,15,2,3,53,47,5,13,37,33,17,15,7,6,12,6,10,10,58,49,37,20,-1.1116,-0.3719,0,1,10,12,0,1,1,1,1,0,,,,
14109653,52,48,1.13,0.94,3,1,13,14,4,4,4,6,19,7,435,386,23,9,7,19,1,0,,,7,5,0,0,4,8,2,1,8,5,5,9,2,0,1,1,3,0,28,15,1,5,0,3,361,304,29,25,37,56,63,76,24,30,1,6,52,48,6,13,39,32,13,16,9,7,10,5,12,10,49,47,20,31,0.2617,-0.5564,,,11,6,,,2,1,2,0,2,0,,
14109659,46,54,2.66,1.67,5,2,22,7,1,8,6,0,14,16,459,563,8,11,16,14,2,1,,,8,2,2,0,7,4,7,1,17,3,5,4,0,1,5,1,3,1,35,10,0,1,0,4,375,490,18,3,72,47,96,56,22,15,5,2,51,49,5,4,35,30,10,14,12,5,5,7,7,11,50,55,16,37,0.5333,1.953,0,2,4,10,,,,,,,,,,
14109656,58,42,0.46,1.64,2,2,6,16,2,2,6,3,6,19,386,276,18,17,19,6,2,1,,,2,2,0,1,2,8,2,6,5,8,1,8,,,2,2,0,1,9,25,0,1,5,2,287,199,20,22,54,57,65,64,29,22,4,4,58,42,10,11,40,32,24,14,6,9,9,14,12,12,41,51,22,28,0.6071,0.1253,1,0,11,9,,,,,1,1,,,,
14109661,70,30,2.4,0.93,2,1,30,9,1,5,13,7,4,22,515,226,12,21,22,4,3,6,0,1,7,3,1,1,13,5,10,1,19,4,11,5,1,1,1,0,,,39,10,5,2,,,456,148,23,12,50,45,117,43,28,16,11,2,53,47,16,5,46,26,11,24,16,2,9,14,6,9,34,41,17,30,-0.1161,0.3364,0,1,8,16,,,1,2,1,0,,,,
14109660,44,56,1.6,2.01,5,4,13,22,7,0,1,7,18,13,348,436,21,11,13,17,4,1,,,3,11,0,0,6,5,4,6,9,14,4,8,3,3,2,1,2,0,20,33,3,5,2,1,248,361,18,24,46,48,55,67,19,23,6,8,46,54,8,16,41,48,8,10,8,19,7,5,12,7,51,51,23,13,-0.8446,-1.7196,,,9,7,0,1,1,0,1,0,2,0,,
14109657,30,70,0.97,1.87,1,2,13,17,3,4,2,11,15,7,231,536,13,13,7,15,4,0,1,0,5,4,1,1,3,10,5,3,7,14,6,3,0,1,1,1,,,20,38,,,2,1,173,473,11,23,54,80,63,141,19,29,5,12,46,54,8,7,28,35,13,13,8,8,5,10,13,5,50,49,35,16,-0.3764,-0.959,2,0,12,4,,,1,1,,,,,,
14109663,62,38,1.37,0.36,2,0,13,8,0,1,1,4,8,17,495,288,14,27,17,8,1,2,,,2,2,0,0,4,3,7,3,6,6,7,2,1,0,1,0,1,0,13,15,2,1,6,1,403,196,27,14,53,65,69,58,31,21,6,3,54,46,7,5,44,36,24,23,13,2,11,15,3,12,46,51,25,32,-1.8315,-0.1072,,,10,7,2,0,1,0,,,,,,
14109662,67,33,2.65,0.24,4,1,19,4,2,9,5,3,19,14,567,292,24,16,13,19,4,6,,,11,2,0,0,7,1,1,1,8,1,11,3,2,0,2,1,,,26,2,4,2,0,2,524,221,23,19,65,33,171,33,4,23,3,0,52,48,6,9,49,41,4,8,11,6,14,7,15,3,55,41,7,33,0.0941,0.8222,,,2,10,0,1,,,0,2,,,,
14109664,72,28,2.33,0.38,4,1,23,2,0,5,10,0,16,16,438,182,11,10,16,16,5,3,0,2,6,1,1,0,14,1,3,0,15,1,8,1,1,0,3,1,1,0,32,1,6,0,4,3,379,113,17,11,73,31,151,12,39,18,7,1,48,52,4,5,28,28,15,19,2,3,9,6,4,7,47,40,4,46,-0.7826,1.6351,1,1,3,16,,,0,2,0,2,0,1,,
14109658,42,58,2.39,0.27,3,0,13,7,0,4,3,6,18,14,348,482,22,8,14,18,1,4,,,6,1,0,0,2,4,5,2,11,5,2,2,2,0,1,0,0,1,28,26,3,2,2,1,263,403,11,9,41,50,51,70,15,32,3,4,56,44,4,17,42,36,19,11,9,11,12,7,11,7,55,51,33,20,-0.562,-0.0575,0,1,8,5,0,2,0,1,,,,,,
