player_name,squad,appearances,matches_started,minutes_played,goals,assists,yellow_cards,red_cards
Olcan Adın,Gaziantepspor,14,13,1150,4,4,0,0
Olcan Adın,Trabzonspor,13,13,1110,4,0,3,0
Sedat Ağçay,Antalyaspor,18,6,761,0,0,2,0
Jerry Akaminko,Manisaspor,28,27,2392,0,0,6,1
Metin Akan,İstanbul BB,13,4,418,0,0,1,0
Murat Akça,Sivasspor,17,14,1302,0,1,6,1
Alper Akçam,Gaziantepspor,3,0,70,0,0,0,0
Aykut Akgün,Trabzonspor,23,15,1383,0,1,3,1
Mehmet Akgün,Gençlerbirliği,27,16,1660,0,1,3,0
Ayhan Akman,Galatasaray,8,2,233,0,0,0,0
Mehmet Akyüz,Beşiktaş,5,0,32,0,0,0,0
Alanzinho,Trabzonspor,32,21,1862,2,4,4,0
Eren Albayrak,Orduspor,1,0,13,0,0,0,0
Muhammed Ali Atam,Sivasspor,1,0,3,0,0,0,0
Hasan Ali Kaldırım,Kayserispor,33,33,2970,0,1,5,0
Okan Alkan,Kayserispor,7,4,396,0,0,0,0
Adem Alkaşi,Samsunspor,27,26,2328,0,0,4,0
Hugo Almeida,Beşiktaş,22,19,1640,10,3,5,1
Halil Altıntop,Trabzonspor,29,21,1867,5,7,1,0
Tarık Altuntaş,Mersin İY,1,0,15,0,0,0,0
Gürkan Alver,Ankaragücü,4,2,186,0,0,2,0
Matthew Amoah,Mersin İY,5,1,131,0,0,1,0
Nordin Amrabat,Kayserispor,24,23,2011,5,6,7,0
Diego Ângelo,Eskişehirspor,33,33,2955,6,0,6,0
Can Arat,İstanbul BB,16,14,1154,0,0,3,0
Ahmet Arı,Bursaspor,5,2,163,0,0,0,0
Hakan Arıkan,Mersin İY,11,11,945,0,1,3,0
Hakan Arslan,Samsunspor,23,17,1643,0,0,3,0
Koray Arslan,Eskişehirspor,23,16,1316,0,1,4,1
Hakan Aslantaş,Bursaspor,11,10,789,0,0,1,0
Çağdaş Atan,Mersin İY,27,21,1926,0,1,9,1
Barış Ataş,Mersin İY,6,5,431,0,0,1,1
Eray Ataseven,Manisaspor,2,0,12,0,0,0,0
Necati Ateş,Antalyaspor,19,18,1476,5,2,3,0
Necati Ateş,Galatasaray,10,10,795,6,2,0,0
Mehmet Aurélio,Beşiktaş,10,7,614,0,1,2,0
İlker Avcıbay,Manisaspor,30,30,2697,0,0,0,1
Hasan Ayaroğlu,Ankaragücü,1,0,20,0,0,0,0
Semih Aydilek,Kayserispor,1,0,3,0,0,0,0
Eren Aydın,İstanbul BB,10,6,645,1,0,2,0
Musa Aydın,Antalyaspor,20,15,1123,0,1,1,0
Soner Aydoğdu,Gençlerbirliği,31,28,2373,4,3,3,0
Emre Aygün,Gençlerbirliği,1,0,29,0,0,0,0
Yalçın Ayhan,Orduspor,33,33,2967,2,2,3,1
Ömer Aysan Barış,Manisaspor,21,21,1882,2,0,6,0
Serdar Aziz,Bursaspor,26,25,2228,2,0,8,0
Randall Azofeifa,Gençlerbirliği,28,25,2195,4,6,5,1
Volkan Babacan,Manisaspor,4,4,360,0,0,0,0
Sezer Badur,Gaziantepspor,8,2,206,0,0,2,0
Oğuzhan Bahadır,İstanbul BB,18,17,1582,0,0,0,0
Turgay Bahadır,Bursaspor,27,16,1657,3,0,5,0
André Bahia,Samsunspor,29,26,2379,0,0,7,0
Ediz Bahtiyaroğlu,Eskişehirspor,10,9,887,0,0,2,0
Ediz Bahtiyaroğlu,Ankaragücü,11,10,911,0,0,5,0
Serkan Balcı,Trabzonspor,33,32,2836,0,2,7,0
Hikmet Balioğlu,Manisaspor,3,2,198,0,0,0,0
Hakan Balta,Galatasaray,31,31,2781,1,0,1,0
Emmanuel Banahene,Orduspor,2,0,28,0,0,0,0
Aristide Bancé,Samsunspor,20,18,1641,5,3,2,0
Teteh Bangura,Bursaspor,21,7,670,6,2,5,1
Deniz Barış,Antalyaspor,28,28,2520,1,0,6,1
Cristian Baroni,Fenerbahçe,32,30,2683,6,4,4,0
Milan Baroš,Galatasaray,23,14,1168,8,4,1,1
İrfan Başaran,Orduspor,8,1,214,0,0,2,0
Emrah Başsan,Antalyaspor,33,9,1377,2,2,2,0
Pablo Batalla,Bursaspor,34,29,2553,9,10,3,0
Mehmet Batdal,Karabükspor,9,3,420,1,0,0,0
