tff_mac_id,tff_kisi_id,scorer_name_tff,minute,goal_order
98849,30071,UĞUR İNCEMAN,79,1
98850,678886,SERDAR ÖZKAN,85,1
98850,30069,MERT NOBRE,48,2
98850,30069,MERT NOBRE,56,3
98851,1343877,DIEGO ANGELO DE OLIVEIRA,25,1
98851,709586,BATUHAN KARADENİZ,84,2
98851,1386181,HUGO MIGUEL PEREIRA DE ALMEIDA,44,3
98852,98266,OZAN İPEK,34,1
98852,30098,GÖKÇEK VEDERSON,38,2
98852,1253726,PABLO MARTIN BATALLA,64,3
98853,1429520,LUTON GEORGE KIESHAWN SHELTON,13,1
98853,493317,BİROL HİKMET,23,2
98853,1387863,JAKUB NAVRATIL,19,3
98854,1432294,ARISTIDE BANCE,16,1
98854,1432092,ALVARO JOSE DOMINGUEZ CABEZAS,23,2
98854,1432088,EHIOSUN EKIGHO,38,3
98854,1386275,RANDALL AZOFEIFA CORRALES,53,4
98854,27280,İHSAN BURAK ÖZSARAÇ,89,5
98855,473240,EFE İNANÇ,42,1
98855,1429941,PIERRE ACHILLE WEBO KOUAMO,82,2
98856,1252929,JOSHUA CHRISTOPHER SIMPSON,88,1
98856,91384,BURAK YILMAZ,39,2
98857,1252821,CRISTIAN MARK JUNIO NASCIMENTO OLIVEIRA BARONI,31,1
98858,1307566,NDUKA MORRISON OZOKWO,5,1
98858,1302829,JOSEPH BOUM II,15,2
98858,2019406,IBRAHIM TETEH BANGURA,47,3
98858,1064301,TURGAY BAHADIR,90,4
98859,1429941,PIERRE ACHILLE WEBO KOUAMO,86,1
98860,1432017,FELIPE MELO DE CARVALHO,18,1
98860,1432231,JOHAN ERİK CALVİN ELMANDER,72,2
98860,53537,SELÇUK İNAN,75,3
98860,468569,MUSTAFA SARP,54,4
98861,1384873,YASİN ÖZTEKİN,19,1
98861,1221765,HURŞUT MERİÇ,38,2
98861,1429520,LUTON GEORGE KIESHAWN SHELTON,49,3
98862,1430555,SIDNEI RECHEL DA SILVA JUNIOR,37,1
98862,1430555,SIDNEI RECHEL DA SILVA JUNIOR,81,2
98862,770691,MUSTAFA PEKTEMEK,88,3
98862,1224115,TONIA D. TISDELL,54,4
98863,259968,NECATİ ATEŞ,83,1
98864,397587,OLCAN ADIN,28,1
98864,30091,ALEXSANDRO DE SOUZA,35,2
98864,30091,ALEXSANDRO DE SOUZA,54,3
98864,1432293,HENRİ BİENVENU NTSAMA,80,4
98865,1432149,LEONARDO DE DEUS SANTOS,17,1
98865,538334,MEHMET YILDIZ,32,2
98865,1432140,DIOMANSY MEHDI MOUSTAPHA KAMARA,66,3
98865,709586,BATUHAN KARADENİZ,88,4
98866,1389707,SORİN BOGDAN STANCU,11,1
98867,1343699,ISSIAR DIA,41,1
98867,343018,ÖMER AYSAN BARIŞ,65,2
98868,2019406,IBRAHIM TETEH BANGURA,6,1
98868,1168326,TOMAS SIVOK,87,2
98868,950514,FILIP HOLOSKO,89,3
98869,507928,ERDEM ÖZGENÇ,72,1
98869,1432017,FELIPE MELO DE CARVALHO,82,2
98870,1430564,VESELIN MILCHEV MINEV,21,1
98870,30071,UĞUR İNCEMAN,48,2
98870,1127981,ANDRE ROBERTO SOARES DA SILVA,86,3
98871,1306405,KAĞAN SÖYLEMEZGİLLER,51,1
98871,1387863,JAKUB NAVRATIL,32,2
98871,1432286,RASMUSSEN MORTEN NİCOLAS,76,3
98873,1063428,TEVFİK KÖSE,80,1
98873,26351,FATİH TEKKE,17,2
98874,1343841,VICTOR ISMAEL SOSA,4,1
98874,1431069,CRISTIAN MIGUEL RIVEROS NUNEZ,46,2
98874,1431068,ZURAB KHIZANISHVILI,69,3
98875,46401,ERGÜN TEBER,85,1
98875,91384,BURAK YILMAZ,32,2
98876,654587,SONER AYDOĞDU,22,1
98876,1308533,JAN RAJNOCH,87,2
98877,1385972,SIMAO PEDRO DA FONSECA SABROSA,10,1
98878,1428839,FRANCISCO LIMA DA SILVA,43,1
98878,1429941,PIERRE ACHILLE WEBO KOUAMO,89,2
98879,40463,GÖKHAN ZAN,26,1
98879,1432017,FELIPE MELO DE CARVALHO,51,2
98880,1388969,MICHAEL ENERAMO,47,1
98880,1432286,RASMUSSEN MORTEN NİCOLAS,59,2
98880,1432286,RASMUSSEN MORTEN NİCOLAS,75,3
98881,1064171,ANDRE FRANCISCO MORITZ,35,1
98881,30069,MERT NOBRE,48,2
98882,433728,CANER ERKİN,6,1
98883,91384,BURAK YILMAZ,26,1
98883,91384,BURAK YILMAZ,51,2
98883,91384,BURAK YILMAZ,73,3
98883,1343690,FLORIN LUCIAN CERNAT,35,4
98885,259968,NECATİ ATEŞ,29,1
98885,259968,NECATİ ATEŞ,60,2
98885,1387867,KAMIL PAWEL GROSICKI,6,3
98885,1388969,MICHAEL ENERAMO,79,4
98886,557340,GÖKHAN ÜNAL,21,1
98886,557340,GÖKHAN ÜNAL,73,2
98886,30069,MERT NOBRE,23,3
98886,30069,MERT NOBRE,42,4
98888,1343671,MIROSLAV STOCH,47,1
98888,30091,ALEXSANDRO DE SOUZA,59,2
98888,414770,GÖKHAN GÖNÜL,70,3
98888,1252821,CRISTIAN MARK JUNIO NASCIMENTO OLIVEIRA BARONI,89,4
98888,1429941,PIERRE ACHILLE WEBO KOUAMO,79,5
98888,1429941,PIERRE ACHILLE WEBO KOUAMO,87,6
98889,98266,OZAN İPEK,44,1
98889,98266,OZAN İPEK,68,2
98889,950513,MILAN STEPANOV,71,3
98889,1064301,TURGAY BAHADIR,82,4
98890,1308533,JAN RAJNOCH,12,1
98890,1063502,KAZIM KAZIM,20,2
98890,1172360,MILAN BAROS,85,3
98891,91384,BURAK YILMAZ,55,1
98891,91384,BURAK YILMAZ,57,2
98892,301199,MEHMET BATDAL,89,1
98892,1389707,SORİN BOGDAN STANCU,21,2
98892,26351,FATİH TEKKE,24,3
98893,1432230,AKAKI KHUBUTIA,41,1
98893,27404,MURAT ERDOĞAN,7,2
98893,343018,ÖMER AYSAN BARIŞ,27,3
98894,1168420,FURKAN ÖZÇAL,65,1
98894,1174065,JAMES TROİSİ,80,2
98895,1127981,"ANDRE ROBERTO SOARES DA SILVA,90+",1,1
98895,657880,ÖZER HURMACI,4,2
98895,1432293,HENRİ BİENVENU NTSAMA,53,3
98896,1389707,SORİN BOGDAN STANCU,48,1
98896,1385185,JUAN EMMANUEL CULİO,51,2
98896,1432140,DIOMANSY MEHDI MOUSTAPHA KAMARA,65,3
98897,1432231,JOHAN ERİK CALVİN ELMANDER,21,1
98897,1172360,MILAN BAROS,87,2
98897,428986,SERDAR AZİZ,80,3
98898,1063466,AYKUT DEMİR,22,1
98898,671395,OKTAY DELİBALTA,33,2
98898,29894,DENİZ BARIŞ,4,3
98900,1428839,FRANCISCO LIMA DA SILVA,57,1
98900,1429941,PIERRE ACHILLE WEBO KOUAMO,62,2
98900,342483,CİHAN HASPOLATLI,75,3
98901,915429,PROMISE ISAAC,38,1
98901,915429,PROMISE ISAAC,72,2
98901,731452,ALİ KUCIK,89,3
98902,1387538,PAWEL LUKASZ BROZEK,38,1
98902,1428819,ONDREJ CELUSTKA,66,2
98902,91384,BURAK YILMAZ,80,3
98902,681136,TURGUT DOĞAN ŞAHİN,19,4
98902,1170321,THEO WEEKS LEWIS,63,5
98904,267025,KORAY ARSLAN,71,1
98904,327177,AHMET İLHAN ÖZEK,44,2
98905,770691,MUSTAFA PEKTEMEK,19,1
98906,1343946,STANISLAV SESTAK,51,1
98906,91384,BURAK YILMAZ,71,2
98907,26351,FATİH TEKKE,16,1
98907,1389707,SORİN BOGDAN STANCU,49,2
98908,1343690,FLORIN LUCIAN CERNAT,23,1
98908,527413,BİLAL KISA,82,2
98909,1384729,NOUREDDINE AMRABAT,7,1
98909,1168420,FURKAN ÖZÇAL,27,2
98909,557340,GÖKHAN ÜNAL,67,3
98909,1384729,NOUREDDINE AMRABAT,76,4
