tff_kisi_id,player_name_tff,club_name_tff,tff_kulup_id,goals_season_tff
91384,BURAK YILMAZ,TRABZONSPOR A.Ş.,3596,33
1432140,DIOMANSY MEHDI MOUSTAPHA KAMARA,ESKİŞEHİRSPOR,3,15
1064334,HERVE GERMAIN TUM,GENÇLERBİRLİĞİ,3606,15
1388969,MICHAEL ENERAMO,SİVASSPOR,74,15
1429941,PIERRE ACHILLE WEBO KOUAMO,İSTANBUL BBSK,3665,15
30091,ALEXSANDRO DE SOUZA,FENERBAHÇE A.Ş.,3592,14
1428839,FRANCISCO LIMA DA SILVA,İSTANBUL BBSK,3665,14
259968,NECATİ ATEŞ,GALATASARAY A.Ş.,3604,13
1253726,PABLO MARTIN BATALLA,BURSASPOR,3601,13
53537,SELÇUK İNAN,GALATASARAY A.Ş.,3604,13
1432017,FELIPE  MELO DE CARVALHO,GALATASARAY A.Ş.,3604,12
1432231,JOHAN ERİK CALVİN ELMANDER,GALATASARAY A.Ş.,3604,12
1343671,MIROSLAV STOCH,FENERBAHÇE A.Ş.,3592,12
1386181,HUGO MIGUEL PEREIRA DE ALMEIDA,BEŞİKTAŞ A.Ş.,3590,11
915429,PROMİSE İSAAC,MANİSASPOR,110,11
1174065,JAMES TROİSİ,KAYSERİSPOR,72,10
30106,MELİH GÖKÇEK,MEDİCAL PARK ANTALYASPOR,52,10
30069,MERT NOBRE,MERSİN İDMAN YURDU,118,10
646854,MUHAMMET DEMİR,GAZİANTEPSPOR,116,10
1432088,EHIOSUN EKIGHO,SAMSUNSPOR,3597,9
290774,ERMAN KILIÇ,SİVASSPOR,74,9
1343690,FLORIN LUCIAN CERNAT,KARDEMİR D.Ç. KARABÜKSPOR,4,9
397587,OLCAN ADIN,TRABZONSPOR A.Ş.,3596,9
1256975,RICARDO PEDRIEL SUAREZ,SİVASSPOR,74,9
1468559,SEBASTIAN ANDRES PINTO PERURENA,BURSASPOR,3601,9
709586,BATUHAN KARADENİZ,ESKİŞEHİRSPOR,3,8
1252821,CRISTIAN MARK JUNIO NASCIMENTO OLIVEIRA BARONI,FENERBAHÇE A.Ş.,3592,8
1384732,EMIR KUJOVIC,KAYSERİSPOR,72,8
1432293,HENRİ BİENVENU NTSAMA,FENERBAHÇE A.Ş.,3592,8
538334,MEHMET YILDIZ,KARDEMİR D.Ç. KARABÜKSPOR,4,8
1172360,MILAN BAROS,GALATASARAY A.Ş.,3604,8
770691,MUSTAFA PEKTEMEK,BEŞİKTAŞ A.Ş.,3590,8
1466846,THEOFANIS GKEKAS,SAMSUNSPOR,3597,8
1343877,DIEGO ANGELO DE OLIVEIRA,ESKİŞEHİRSPOR,3,7
1387867,KAMIL PAWEL  GROSICKI,SİVASSPOR,74,7
1471748,MOUSSA SOW,FENERBAHÇE A.Ş.,3592,7
27404,MURAT ERDOĞAN,MANİSASPOR,110,7
1343834,SAMUEL TOBIAS HOLMEN,İSTANBUL BBSK,3665,7
1064301,TURGAY BAHADIR,BURSASPOR,3601,7
1391900,CENK TOSUN,GAZİANTEPSPOR,116,6
26323,EMRE BELÖZOĞLU,FENERBAHÇE A.Ş.,3592,6
1063400,HALİL ALTINTOP,TRABZONSPOR A.Ş.,3596,6
1429042,IBRAHIM TETEH BANGURA,BURSASPOR,3601,6
1384873,YASİN ÖZTEKİN,GENÇLERBİRLİĞİ,3606,6
1432294,ARISTIDE BANCE,SAMSUNSPOR,3597,5
655290,ATİLLA AYBARS GARHAN,MKE ANKARAGÜCÜ,3595,5
1429942,EDIN VISCA,İSTANBUL BBSK,3665,5
950514,FILIP HOLOSKO,BEŞİKTAŞ A.Ş.,3590,5
1221765,HURŞUT MERİÇ,GENÇLERBİRLİĞİ,3606,5
1308533,JAN RAJNOCH,SİVASSPOR,74,5
