away_kulup_id,away_score,home_kulup_id,home_score,tff_mac_id
116,0,52,1,98849
118,2,3595,1,98850
3590,1,3,2,98851
72,0,3601,3,98852
74,1,4,2,98853
3606,2,3597,3,98854
3604,0,3665,2,98855
3596,1,110,1,98856
3630,0,3592,1,98857
3601,3,118,1,98858
3665,1,3596,0,98859
3597,1,3604,3,98860
4,1,3606,2,98861
3595,1,3590,3,98862
52,1,72,0,98863
3592,3,116,1,98864
3,4,74,0,98865
110,0,3630,1,98866
110,1,3592,1,98867
3590,2,3601,1,98868
3604,1,4,1,98869
118,2,52,1,98870
74,2,3595,1,98871
3606,0,3,0,98872
3630,1,3665,1,98873
72,2,116,1,98874
3596,1,3597,1,98875
3595,1,3606,1,98876
52,0,3590,1,98877
3665,2,110,0,98878
3,0,3604,2,98879
3601,0,74,3,98880
116,0,118,2,98881
3592,1,72,0,98882
4,1,3596,3,98883
3597,0,3630,0,98884
74,2,52,2,98885
118,2,72,2,98886
3590,0,116,0,98887
3665,2,3592,4,98888
3606,0,3601,4,98889
3604,3,3595,0,98890
3596,2,3,0,98891
3630,2,4,1,98892
110,2,3597,1,98893
72,2,3590,0,98894
3592,2,118,1,98895
3,1,3630,2,98896
3601,1,3604,2,98897
52,0,3606,3,98898
116,0,74,0,98899
3597,0,3665,3,98900
4,1,110,2,98901
3595,2,3596,3,98902
3604,0,52,0,98903
110,2,3,0,98904
3590,1,118,0,98905
3596,1,3601,1,98906
3630,2,3595,0,98907
3665,0,4,2,98908
74,2,72,6,98909
3606,0,116,3,98910
3597,0,3592,0,98911
3601,1,3630,1,98912
72,0,3606,1,98913
3595,0,110,2,98914
116,4,3604,2,98915
118,0,74,1,98916
3592,2,3590,2,98917
4,0,3597,0,98918
3,2,3665,2,98919
52,2,3596,2,98920
3665,2,3595,1,98921
74,1,3590,3,98922
3596,1,116,0,98923
3630,1,52,1,98924
110,0,3601,0,98925
3597,0,3,1,98926
3606,1,118,2,98927
3604,2,72,0,98928
4,0,3592,1,98929
3601,0,3665,0,98930
72,1,3596,2,98931
116,0,3630,0,98932
118,0,3604,0,98933
3590,2,3606,4,98934
3592,0,74,2,98935
3,2,4,1,98936
3595,2,3597,2,98937
52,0,110,1,98938
3604,0,3590,0,98939
3596,1,118,1,98940
3,0,3592,1,98941
3665,1,52,2,98942
3597,0,3601,1,98943
4,1,3595,2,98944
3606,1,74,1,98945
3630,0,72,1,98946
110,1,116,1,98947
3601,1,4,3,98948
116,1,3665,3,98949
3590,1,3596,0,98950
118,1,3630,0,98951
74,1,3604,2,98952
3592,0,3606,0,98953
3595,2,3,3,98954
52,0,3597,1,98955
72,0,110,1,98956
4,1,52,2,98957
110,0,118,0,98958
3665,0,72,1,98959
3,1,3601,0,98960
3604,1,3606,0,98961
3596,2,74,2,98962
3630,1,3590,2,98963
3597,0,116,1,98964
3595,2,3592,4,98965
3601,0,3595,0,98966
52,0,3,1,98967
3606,2,3596,1,98968
74,2,3630,1,98969
3592,1,3604,3,98970
116,0,4,0,98971
72,1,3597,0,98972
118,0,3665,0,98973
3590,4,110,1,98974
3595,0,52,1,98975
110,2,74,2,98976
4,0,72,2,98977
3592,2,3601,0,98978
3630,1,3606,3,98979
3665,1,3590,1,98980
3597,0,118,1,98981
3,1,116,0,98982
3604,3,3596,0,98983
72,0,3,1,98984
74,1,3665,1,98985
3596,0,3592,1,98986
3604,2,3630,0,98987
52,0,3601,0,98988
116,0,3595,0,98989
118,5,4,3,98990
3590,1,3597,1,98991
3606,1,110,0,98992
3592,0,52,0,98993
4,0,3590,1,98994
3601,2,116,2,98995
110,0,3604,1,98996
3665,0,3606,4,98997
3597,2,74,3,98998
3,0,118,0,98999
3595,0,72,3,99000
3630,1,3596,4,99001
52,0,116,1,99002
3595,2,118,1,99003
3,0,3590,2,99004
3601,2,72,0,99005
4,0,74,3,99006
3597,1,3606,1,99007
3665,1,3604,4,99008
110,1,3596,2,99009
3592,1,3630,1,99010
118,0,3601,1,99011
3596,2,3665,0,99012
3604,4,3597,2,99013
3606,1,4,2,99014
3590,0,3595,0,99015
72,0,52,1,99016
116,1,3592,3,99017
74,1,3,1,99018
3630,0,110,0,99019
3592,2,110,1,99020
3601,1,3590,3,99021
4,1,3604,5,99022
